### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_node21_v1,2026-06-14 17:20,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.002618,31,0.99898,3,1.0,9,0.997712,3,1.0,2,1.0,1,0.000331,0.008289,1.0,0.99898,1.0,0.999988,1.0,0.997712,1.0,1.0,1.0,0.995434,1968.7,206.5,901.9,41.1,0.02226156,0.00044523

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00065238,0.229786,0.905433,0.964823,0.755791,0.958054,0.624044,0.010604,0.997959,0.999988,0.995455,0.99095,1.0
2,2e-05,0.00043952,0.022431,0.992824,0.999585,0.984783,0.979459,0.990164,0.026658,0.988776,0.999964,0.974239,1.0,0.949772
3,3e-05,0.00044276,0.019926,0.993849,0.999329,0.986914,0.984766,0.989071,0.004111,0.99898,0.999988,0.997712,1.0,0.995434
4,4e-05,0.00043877,0.009425,0.996412,0.999888,0.992358,0.991276,0.993443,0.004218,0.99898,0.999988,0.997712,1.0,0.995434
5,5e-05,0.00044878,0.029068,0.99103,0.999442,0.980926,0.978261,0.983607,0.212206,0.936735,0.997708,0.835979,0.993711,0.721461
6,6e-05,0.00044258,0.030628,0.989236,0.999139,0.976999,0.979144,0.974863,0.012117,0.997959,0.999838,0.995434,0.995434,0.995434
7,7e-05,0.00044242,0.031952,0.988211,0.99907,0.974891,0.973828,0.975956,0.034378,0.988776,0.999358,0.974596,0.985981,0.96347
8,8e-05,0.0004426,0.025026,0.992568,0.999239,0.984179,0.982571,0.985792,0.010142,0.997959,0.99994,0.995434,0.995434,0.995434
9,9e-05,0.00044007,0.072702,0.973603,0.994969,0.943808,0.942266,0.945355,0.0329,0.985714,1.0,0.969027,0.939914,1.0
10,0.0001,0.00044217,0.026042,0.991543,0.999067,0.981898,0.985683,0.978142,0.006042,0.99898,0.999994,0.997712,1.0,0.995434
