image_id,img_rank,npy_file,patch_rank,patch_idx,row,col,score,pred_label,true_label,correct
654,0,ips_node21_v1_patches_00_img654.npy,0,33,4,1,0.10685,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,1,25,3,1,0.105979,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,2,18,2,2,0.105784,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,3,17,2,1,0.100368,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,4,21,2,5,0.097932,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,5,10,1,2,0.097155,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,6,29,3,5,0.096682,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,7,50,6,2,0.096463,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,8,54,6,6,0.096404,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,9,44,5,4,0.096382,0,0,1
114,1,ips_node21_v1_patches_01_img114.npy,0,24,3,0,0.102975,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,1,52,6,4,0.101296,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,2,51,6,3,0.100931,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,3,50,6,2,0.100667,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,4,44,5,4,0.100621,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,5,36,4,4,0.099688,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,6,31,3,7,0.09948,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,7,40,5,0,0.098668,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,8,4,0,4,0.09822,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,9,28,3,4,0.097453,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,0,44,5,4,0.100161,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,1,7,0,7,0.100071,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,2,0,0,0,0.100066,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,3,6,0,6,0.100059,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,4,1,0,1,0.100052,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,5,2,0,2,0.100042,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,6,5,0,5,0.100041,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,7,3,0,3,0.100035,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,8,4,0,4,0.100033,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,9,49,6,1,0.099441,1,1,1
759,3,ips_node21_v1_patches_03_img759.npy,0,20,2,4,0.10981,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,1,18,2,2,0.105933,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,2,33,4,1,0.101944,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,3,25,3,1,0.09886,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,4,41,5,1,0.098435,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,5,17,2,1,0.098332,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,6,10,1,2,0.097532,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,7,58,7,2,0.096473,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,8,57,7,1,0.096389,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,9,59,7,3,0.096292,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,0,41,5,1,0.119118,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,1,33,4,1,0.105998,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,2,25,3,1,0.1005,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,3,18,2,2,0.098308,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,4,10,1,2,0.098176,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,5,21,2,5,0.096733,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,6,17,2,1,0.09609,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,7,29,3,5,0.095403,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,8,13,1,5,0.095125,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,9,28,3,4,0.09455,0,0,1
