### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_rsna_v1,2026-06-15 13:56,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.419013,4,0.804162,7,0.85679,3,0.748823,7,0.73238,7,0.782761,7,0.285639,0.538325,0.883729,0.783201,0.943299,0.838602,0.883456,0.725557,0.886735,0.710708,0.883499,0.761447,1970.1,334.0,902.1,85.1,0.08160134,0.00163203

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00162716,0.594448,0.683779,0.748144,0.683778,0.683792,0.683797,0.521927,0.731996,0.816213,0.684691,0.679255,0.743991
2,2e-05,0.00163376,0.502451,0.757961,0.834609,0.757915,0.758177,0.757973,0.560939,0.710585,0.85293,0.675578,0.68325,0.759685
3,3e-05,0.00163249,0.476605,0.773407,0.852554,0.773245,0.773949,0.773301,0.432485,0.792933,0.85679,0.736357,0.720685,0.771503
4,4e-05,0.00163738,0.467814,0.781605,0.858695,0.781359,0.78225,0.781352,0.419013,0.802366,0.8491,0.739604,0.725706,0.763189
5,5e-05,0.00163407,0.455576,0.788903,0.866602,0.788556,0.789757,0.788497,0.557427,0.688426,0.856579,0.658869,0.678031,0.754831
6,6e-05,0.00163366,0.474183,0.778955,0.854964,0.778945,0.779342,0.779191,0.676339,0.627938,0.856427,0.61022,0.664411,0.732094
7,7e-05,0.00163382,0.477193,0.777956,0.853357,0.777905,0.778018,0.777887,0.431715,0.804162,0.854355,0.748823,0.73238,0.782761
8,8e-05,0.00163451,0.507301,0.755911,0.830665,0.755634,0.756414,0.755631,0.473821,0.75655,0.813213,0.698583,0.686563,0.738823
9,9e-05,0.00163336,0.544901,0.730867,0.796812,0.729983,0.732815,0.730337,0.545496,0.714927,0.805859,0.670143,0.669433,0.734395
10,0.0001,0.00163336,0.538843,0.734416,0.803866,0.734035,0.735608,0.734335,0.498158,0.752658,0.818626,0.69858,0.687499,0.745046
11,9.985e-05,0.00163225,0.532841,0.741815,0.808423,0.741354,0.743175,0.741634,0.471825,0.758197,0.820066,0.701349,0.689172,0.742954
12,9.939e-05,0.00162988,0.515389,0.754711,0.823979,0.754643,0.755416,0.754958,0.466748,0.770624,0.772593,0.668985,0.670142,0.667876
13,9.862e-05,0.00163269,0.52562,0.745714,0.815277,0.745705,0.7461,0.745977,0.605933,0.687977,0.834174,0.655978,0.672089,0.745807
14,9.756e-05,0.00163352,0.516316,0.750662,0.823258,0.750501,0.751118,0.750572,0.439904,0.792484,0.83687,0.724545,0.712311,0.744538
15,9.62e-05,0.00163502,0.504936,0.756761,0.831771,0.756615,0.757502,0.756825,0.422983,0.803414,0.828833,0.714312,0.717399,0.711458
16,9.456e-05,0.00163251,0.505041,0.756361,0.83202,0.7563,0.756777,0.756446,0.522507,0.735739,0.829016,0.690396,0.685089,0.753015
17,9.264e-05,0.00163203,0.505209,0.76091,0.830364,0.76069,0.76188,0.760914,0.580036,0.693517,0.810879,0.657272,0.667584,0.737814
18,9.046e-05,0.00163076,0.502522,0.76031,0.832608,0.759973,0.761454,0.760158,0.462443,0.770774,0.834967,0.713513,0.6998,0.752485
19,8.803e-05,0.0016308,0.496076,0.76131,0.838819,0.761168,0.761587,0.761165,0.607322,0.682138,0.804998,0.648145,0.663258,0.732833
20,8.537e-05,0.00163113,0.488146,0.767408,0.843613,0.767182,0.767855,0.767164,0.661117,0.653691,0.811841,0.628351,0.661431,0.73124
21,8.249e-05,0.00162843,0.488646,0.769158,0.84249,0.768938,0.770517,0.769325,0.465489,0.764785,0.839154,0.711061,0.69822,0.756411
22,7.941e-05,0.00163161,0.483615,0.771007,0.846716,0.770868,0.771801,0.771072,0.45454,0.766432,0.829348,0.707448,0.694254,0.744726
23,7.615e-05,0.00163231,0.497702,0.764009,0.835615,0.763446,0.765639,0.763609,0.539193,0.707441,0.818845,0.668813,0.673924,0.744909
24,7.273e-05,0.00163243,0.487656,0.765859,0.842859,0.765532,0.767472,0.765918,0.516291,0.739482,0.825117,0.692316,0.685461,0.751417
25,6.917e-05,0.00163017,0.48075,0.773407,0.847028,0.772747,0.776179,0.773206,0.479633,0.746669,0.830649,0.696078,0.68673,0.748736
26,6.549e-05,0.00163281,0.47732,0.772107,0.850632,0.771714,0.773911,0.772068,0.456754,0.771373,0.833606,0.714833,0.701039,0.75476
27,6.171e-05,0.00163132,0.450609,0.789653,0.868577,0.789162,0.791774,0.789394,0.529148,0.72421,0.837974,0.683981,0.684144,0.756909
28,5.786e-05,0.00163352,0.451485,0.789503,0.867689,0.788645,0.79281,0.788891,0.447287,0.773319,0.841587,0.717119,0.703102,0.757196
29,5.397e-05,0.00162975,0.439885,0.793502,0.875111,0.793075,0.795568,0.793339,0.450397,0.787992,0.840497,0.725995,0.711735,0.754623
30,5.005e-05,0.0016303,0.435452,0.796151,0.876716,0.795497,0.798805,0.795663,0.490878,0.747118,0.84081,0.698155,0.689201,0.753511
31,4.613e-05,0.00163185,0.429884,0.7987,0.879517,0.798108,0.801694,0.798461,0.451716,0.772122,0.837154,0.715149,0.701282,0.754299
32,4.224e-05,0.00162989,0.424118,0.802499,0.882527,0.801854,0.806553,0.802525,0.444178,0.782902,0.836131,0.718166,0.704732,0.744493
33,3.839e-05,0.00162994,0.40751,0.812947,0.891965,0.812423,0.816511,0.81296,0.494906,0.758197,0.846781,0.709866,0.699082,0.765145
34,3.461e-05,0.0016314,0.399748,0.820445,0.896832,0.820059,0.82328,0.820471,0.463942,0.769876,0.852543,0.718646,0.705339,0.76725
35,3.093e-05,0.0016306,0.387059,0.821295,0.902593,0.820793,0.824634,0.82117,0.487246,0.754005,0.848003,0.706713,0.697018,0.764328
36,2.737e-05,0.00163129,0.380357,0.830292,0.905202,0.829968,0.83375,0.830715,0.475341,0.764486,0.845375,0.714443,0.702173,0.765897
37,2.395e-05,0.00163203,0.367794,0.835991,0.910837,0.835449,0.840761,0.836112,0.485361,0.778859,0.839525,0.721838,0.707295,0.75959
38,2.069e-05,0.00163119,0.342726,0.852787,0.92301,0.852501,0.855977,0.852974,0.506816,0.790088,0.843918,0.730966,0.715951,0.763058
39,1.761e-05,0.00163479,0.340378,0.852937,0.923831,0.852527,0.856121,0.852636,0.490271,0.779907,0.846144,0.72414,0.709411,0.763571
40,1.473e-05,0.00163251,0.326677,0.859885,0.929365,0.859671,0.862724,0.860158,0.496802,0.784399,0.845714,0.727073,0.712092,0.763164
41,1.207e-05,0.00163165,0.316579,0.866733,0.93213,0.866392,0.87002,0.866543,0.512871,0.771223,0.838886,0.713546,0.699798,0.751831
42,9.64e-06,0.00163197,0.303384,0.873782,0.938593,0.873528,0.876799,0.873779,0.523672,0.77287,0.839751,0.717076,0.703104,0.757851
43,7.46e-06,0.00163293,0.293188,0.876781,0.941694,0.876531,0.879726,0.87673,0.543245,0.76239,0.83733,0.708672,0.696175,0.754394
44,5.54e-06,0.00163286,0.291459,0.87993,0.942051,0.879607,0.883155,0.879604,0.52836,0.788591,0.841518,0.727769,0.713199,0.757843
45,3.9e-06,0.00163162,0.289684,0.88103,0.942381,0.88056,0.884732,0.880243,0.529558,0.789489,0.838229,0.72833,0.713816,0.757714
46,2.54e-06,0.00163185,0.281671,0.884279,0.94545,0.884065,0.887235,0.884316,0.530672,0.78934,0.837545,0.728087,0.713601,0.757381
47,1.48e-06,0.00163161,0.277536,0.887428,0.947707,0.887182,0.89046,0.887286,0.539861,0.791436,0.837877,0.730595,0.715949,0.759914
48,7.1e-07,0.00163082,0.271073,0.889128,0.949818,0.888891,0.891845,0.888903,0.546968,0.779757,0.838738,0.723344,0.708672,0.761822
49,2.5e-07,0.00163299,0.280672,0.885679,0.945942,0.885507,0.888548,0.885906,0.537372,0.797425,0.838284,0.73221,0.719103,0.754099
50,1e-07,0.00163074,0.285639,0.883729,0.943299,0.883456,0.886735,0.883499,0.538325,0.783201,0.838602,0.725557,0.710708,0.761447
