### RESUME
run_name,arch,date,n_epochs,lr,wd,B,n_epoch_warmup,pretrained,img_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
baseline_ddr_resnet18_v1,resnet18,2026-06-18 19:24,50,0.0001,0.1,16,10,True,896,0.321386,30,0.893728,30,0.926148,49,0.727036,26,0.038117,0.409071,0.993291,0.880543,0.99467,0.914858,0.987374,0.698278,7231.7,631.0,3212.4,73.3,0.08518083,0.00170362

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00185074,1.478924,0.361342,0.214257,0.231661,0.91356,0.701159,0.578782,0.299838
2,2e-05,0.00173778,0.819148,0.697125,0.603976,0.348007,0.657243,0.786256,0.74093,0.431555
3,3e-05,0.00172916,0.682447,0.754792,0.707545,0.442956,0.646809,0.801838,0.778381,0.492784
4,4e-05,0.00169565,0.618317,0.772364,0.738307,0.491386,0.566827,0.819816,0.810825,0.565313
5,5e-05,0.00169502,0.566716,0.794888,0.771125,0.553423,0.537957,0.805833,0.794119,0.574134
6,6e-05,0.00170687,0.5289,0.808626,0.797195,0.564134,0.52999,0.820615,0.841531,0.589455
7,7e-05,0.00170019,0.489454,0.822524,0.811631,0.588697,0.474567,0.846185,0.85297,0.604169
8,8e-05,0.00170366,0.502208,0.820767,0.815853,0.581732,0.457303,0.847783,0.846347,0.660947
9,9e-05,0.00173242,0.459035,0.829712,0.829134,0.598532,0.495103,0.824211,0.808215,0.608021
10,0.0001,0.00169116,0.444585,0.837061,0.839558,0.624398,0.539472,0.809429,0.820951,0.567026
11,9.985e-05,0.00173623,0.440799,0.840895,0.842173,0.635479,0.571973,0.810627,0.847144,0.576953
12,9.939e-05,0.00170834,0.420368,0.847444,0.847692,0.655413,0.419073,0.854974,0.8458,0.64884
13,9.862e-05,0.00172662,0.402486,0.856869,0.858407,0.673658,0.657649,0.777068,0.835822,0.542661
14,9.756e-05,0.00171669,0.374117,0.865016,0.871335,0.696565,0.416571,0.861366,0.885484,0.612664
15,9.62e-05,0.00169945,0.364052,0.869489,0.876032,0.699622,0.504479,0.827008,0.875022,0.607852
16,9.456e-05,0.00170217,0.339196,0.879233,0.888278,0.736514,0.414484,0.848582,0.858378,0.653302
17,9.264e-05,0.00172005,0.333563,0.877796,0.890903,0.718098,0.428586,0.843787,0.853866,0.655077
18,9.046e-05,0.00169268,0.320256,0.883067,0.8931,0.738676,0.621581,0.817419,0.863144,0.612187
19,8.803e-05,0.00173546,0.318492,0.88722,0.895248,0.749752,0.433232,0.854175,0.861804,0.642003
20,8.537e-05,0.00170124,0.307551,0.892173,0.901382,0.77228,0.37756,0.882141,0.902612,0.67707
21,8.249e-05,0.00170957,0.294378,0.892812,0.900015,0.771054,0.395848,0.869756,0.907887,0.701978
22,7.941e-05,0.00169578,0.257246,0.90639,0.91835,0.785737,0.421071,0.854974,0.870303,0.686099
23,7.615e-05,0.00172841,0.251547,0.915335,0.929466,0.814282,0.453221,0.846185,0.886446,0.644349
24,7.273e-05,0.00173156,0.227263,0.920607,0.932908,0.827611,0.401039,0.857371,0.88831,0.646805
25,6.917e-05,0.00169954,0.228207,0.918211,0.926099,0.821152,0.358208,0.874151,0.903796,0.685452
26,6.549e-05,0.00173224,0.225318,0.920128,0.930461,0.829517,0.348065,0.888534,0.899899,0.727036
27,6.171e-05,0.00169024,0.208185,0.92492,0.937052,0.837239,0.407178,0.860168,0.889873,0.670592
28,5.786e-05,0.00169256,0.187911,0.93131,0.941685,0.855931,0.424859,0.856572,0.882991,0.678409
29,5.397e-05,0.0016888,0.164624,0.940415,0.951251,0.879974,0.446747,0.845785,0.886323,0.674456
30,5.005e-05,0.00176493,0.16209,0.942013,0.952312,0.877886,0.321386,0.893728,0.91842,0.725763
31,4.613e-05,0.00170238,0.136495,0.958307,0.966546,0.92195,0.443113,0.863763,0.904803,0.657093
32,4.224e-05,0.00169837,0.128165,0.95607,0.964244,0.913883,0.405619,0.859768,0.897461,0.656943
33,3.839e-05,0.00166566,0.121246,0.958147,0.965948,0.911631,0.366967,0.88334,0.896517,0.710344
34,3.461e-05,0.00171916,0.104203,0.967412,0.971894,0.934964,0.482731,0.847383,0.891129,0.669229
35,3.093e-05,0.0016763,0.100131,0.96885,0.972905,0.941257,0.370604,0.881342,0.900758,0.710357
36,2.737e-05,0.00168211,0.089787,0.972045,0.976856,0.942919,0.385125,0.873751,0.906662,0.673952
37,2.395e-05,0.00166924,0.081004,0.976837,0.981512,0.957406,0.476129,0.861766,0.899594,0.675809
38,2.069e-05,0.00167672,0.08812,0.973962,0.977171,0.950702,0.415263,0.875749,0.912573,0.684758
39,1.761e-05,0.00169256,0.067775,0.980671,0.984143,0.964218,0.420814,0.873352,0.908581,0.690403
40,1.473e-05,0.00170091,0.056601,0.984984,0.986863,0.974638,0.372638,0.887735,0.916038,0.697497
41,1.207e-05,0.00172168,0.051818,0.988019,0.98834,0.979466,0.396647,0.879744,0.901119,0.691431
42,9.64e-06,0.00166164,0.051279,0.985783,0.989542,0.969679,0.40851,0.872553,0.909193,0.68902
43,7.46e-06,0.00168779,0.050297,0.98754,0.990416,0.979292,0.389595,0.880144,0.905349,0.698161
44,5.54e-06,0.00167097,0.049508,0.986422,0.98854,0.976615,0.419998,0.87535,0.909917,0.701116
45,3.9e-06,0.00165981,0.042949,0.990256,0.992185,0.979323,0.40709,0.876948,0.906655,0.696202
46,2.54e-06,0.00168038,0.044817,0.989297,0.992041,0.97839,0.397497,0.881742,0.909283,0.705719
47,1.48e-06,0.00168257,0.043117,0.989776,0.991121,0.981293,0.403556,0.879345,0.910252,0.688982
48,7.1e-07,0.00167817,0.041974,0.990895,0.992404,0.984031,0.411755,0.879345,0.90958,0.698931
49,2.5e-07,0.00168413,0.047592,0.990575,0.990908,0.983325,0.392961,0.888933,0.926148,0.705455
50,1e-07,0.00165507,0.038117,0.993291,0.99467,0.987374,0.409071,0.880543,0.914858,0.698278
