### RESUME
run_name,arch,date,n_epochs,lr,wd,B,n_epoch_warmup,pretrained,img_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
baseline_node21_resnet18_v1,resnet18,2026-06-18 10:26,50,0.0001,0.1,16,10,True,1024,1.8e-05,35,1.0,3,1.0,3,1.0,3,1.0,1,1.0,3,4.2e-05,3.9e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8698.9,224.1,3444.5,44.5,0.02637301,0.00052746

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.000792,0.372446,0.768836,0.979653,0.669112,0.503589,0.996721,0.025974,0.997959,0.999994,0.995413,1.0,0.990868
2,2e-05,0.00053072,0.047736,0.990005,0.998596,0.978976,0.965957,0.99235,0.011998,0.997959,0.999988,0.995413,1.0,0.990868
3,3e-05,0.00052162,0.017334,0.995387,0.999851,0.990164,0.990164,0.990164,0.001729,1.0,1.0,1.0,1.0,1.0
4,4e-05,0.00051921,0.015372,0.995131,0.999866,0.989646,0.986957,0.99235,0.007427,0.997959,0.999934,0.995434,0.995434,0.995434
5,5e-05,0.00052201,0.014753,0.996156,0.999771,0.991808,0.991266,0.99235,0.001068,1.0,1.0,1.0,1.0,1.0
6,6e-05,0.00052868,0.009389,0.99795,0.999905,0.995633,0.994547,0.996721,0.000441,1.0,1.0,1.0,1.0,1.0
7,7e-05,0.00051487,0.007161,0.998462,0.999976,0.996721,0.996721,0.996721,0.000866,1.0,1.0,1.0,1.0,1.0
8,8e-05,0.00052121,0.008885,0.997437,0.999907,0.994547,0.992383,0.996721,0.003127,0.99898,1.0,0.997712,1.0,0.995434
9,9e-05,0.0005163,0.010965,0.996668,0.999924,0.992916,0.990217,0.995628,0.007602,0.997959,0.99997,0.995413,1.0,0.990868
10,0.0001,0.00052865,0.006347,0.998719,0.999929,0.997266,0.997812,0.996721,0.001256,0.99898,1.0,0.997712,1.0,0.995434
11,9.985e-05,0.00051816,0.010596,0.996668,0.999863,0.9929,0.992358,0.993443,0.003739,0.99898,0.999994,0.997722,0.995455,1.0
12,9.939e-05,0.00053506,0.006928,0.998719,0.999946,0.997266,0.997812,0.996721,0.002037,0.99898,1.0,0.997712,1.0,0.995434
13,9.862e-05,0.00051486,0.00823,0.997181,0.999937,0.993979,0.995614,0.99235,0.004135,0.99898,1.0,0.997712,1.0,0.995434
14,9.756e-05,0.00052191,0.00192,0.999744,1.0,0.999453,1.0,0.998907,0.000657,1.0,1.0,1.0,1.0,1.0
15,9.62e-05,0.00052016,0.00078,1.0,1.0,1.0,1.0,1.0,0.002268,0.99898,1.0,0.997712,1.0,0.995434
16,9.456e-05,0.00052846,0.004208,0.998719,0.999992,0.997269,0.996725,0.997814,0.000926,1.0,1.0,1.0,1.0,1.0
17,9.264e-05,0.00054144,0.007317,0.99795,0.999948,0.995638,0.993471,0.997814,6.5e-05,1.0,1.0,1.0,1.0,1.0
18,9.046e-05,0.00051576,0.005898,0.998719,0.999935,0.997266,0.997812,0.996721,0.011997,0.997959,0.999976,0.995413,1.0,0.990868
19,8.803e-05,0.0005184,0.002383,0.999231,0.999997,0.998358,1.0,0.996721,0.001479,0.99898,1.0,0.997712,1.0,0.995434
20,8.537e-05,0.00051487,0.000872,1.0,1.0,1.0,1.0,1.0,0.000551,1.0,1.0,1.0,1.0,1.0
21,8.249e-05,0.00052273,0.000444,1.0,1.0,1.0,1.0,1.0,0.001934,0.99898,1.0,0.997712,1.0,0.995434
22,7.941e-05,0.00052779,0.000559,1.0,1.0,1.0,1.0,1.0,0.000958,0.99898,1.0,0.997712,1.0,0.995434
23,7.615e-05,0.00051762,0.000336,1.0,1.0,1.0,1.0,1.0,0.00152,0.99898,1.0,0.997712,1.0,0.995434
24,7.273e-05,0.00051311,0.000244,1.0,1.0,1.0,1.0,1.0,0.000163,1.0,1.0,1.0,1.0,1.0
25,6.917e-05,0.0005252,0.000731,1.0,1.0,1.0,1.0,1.0,0.000543,1.0,1.0,1.0,1.0,1.0
26,6.549e-05,0.00052359,0.000126,1.0,1.0,1.0,1.0,1.0,0.001057,0.99898,1.0,0.997712,1.0,0.995434
27,6.171e-05,0.00051763,0.000635,1.0,1.0,1.0,1.0,1.0,0.006239,0.99898,0.999994,0.997712,1.0,0.995434
28,5.786e-05,0.00051688,0.000844,0.999744,1.0,0.999453,1.0,0.998907,8.7e-05,1.0,1.0,1.0,1.0,1.0
29,5.397e-05,0.00052252,0.000536,1.0,1.0,1.0,1.0,1.0,0.000331,1.0,1.0,1.0,1.0,1.0
30,5.005e-05,0.00052289,0.000441,1.0,1.0,1.0,1.0,1.0,0.003512,0.99898,1.0,0.997712,1.0,0.995434
31,4.613e-05,0.00051165,0.000114,1.0,1.0,1.0,1.0,1.0,0.000192,1.0,1.0,1.0,1.0,1.0
32,4.224e-05,0.00051489,0.001239,0.999487,1.0,0.998908,0.997819,1.0,5.1e-05,1.0,1.0,1.0,1.0,1.0
33,3.839e-05,0.00051476,0.000144,1.0,1.0,1.0,1.0,1.0,4.7e-05,1.0,1.0,1.0,1.0,1.0
34,3.461e-05,0.00052456,0.000189,1.0,1.0,1.0,1.0,1.0,6.3e-05,1.0,1.0,1.0,1.0,1.0
35,3.093e-05,0.00052002,8.7e-05,1.0,1.0,1.0,1.0,1.0,1.8e-05,1.0,1.0,1.0,1.0,1.0
36,2.737e-05,0.00052432,0.000101,1.0,1.0,1.0,1.0,1.0,2.5e-05,1.0,1.0,1.0,1.0,1.0
37,2.395e-05,0.00054091,0.000455,0.999744,1.0,0.999454,0.998908,1.0,0.000564,1.0,1.0,1.0,1.0,1.0
38,2.069e-05,0.00052247,0.000102,1.0,1.0,1.0,1.0,1.0,0.000541,1.0,1.0,1.0,1.0,1.0
39,1.761e-05,0.00051352,7.2e-05,1.0,1.0,1.0,1.0,1.0,0.000222,1.0,1.0,1.0,1.0,1.0
40,1.473e-05,0.00052328,0.00021,1.0,1.0,1.0,1.0,1.0,0.000109,1.0,1.0,1.0,1.0,1.0
41,1.207e-05,0.00052196,8.9e-05,1.0,1.0,1.0,1.0,1.0,5.5e-05,1.0,1.0,1.0,1.0,1.0
42,9.64e-06,0.00053149,7.2e-05,1.0,1.0,1.0,1.0,1.0,6.2e-05,1.0,1.0,1.0,1.0,1.0
43,7.46e-06,0.00053302,7.1e-05,1.0,1.0,1.0,1.0,1.0,5.9e-05,1.0,1.0,1.0,1.0,1.0
44,5.54e-06,0.00051762,6.4e-05,1.0,1.0,1.0,1.0,1.0,2.7e-05,1.0,1.0,1.0,1.0,1.0
45,3.9e-06,0.00050932,3e-05,1.0,1.0,1.0,1.0,1.0,8e-05,1.0,1.0,1.0,1.0,1.0
46,2.54e-06,0.0005137,4.5e-05,1.0,1.0,1.0,1.0,1.0,9.8e-05,1.0,1.0,1.0,1.0,1.0
47,1.48e-06,0.00054202,3.4e-05,1.0,1.0,1.0,1.0,1.0,4.9e-05,1.0,1.0,1.0,1.0,1.0
48,7.1e-07,0.00052249,3.5e-05,1.0,1.0,1.0,1.0,1.0,2.9e-05,1.0,1.0,1.0,1.0,1.0
49,2.5e-07,0.0005198,2.7e-05,1.0,1.0,1.0,1.0,1.0,3.6e-05,1.0,1.0,1.0,1.0,1.0
50,1e-07,0.0005169,4.2e-05,1.0,1.0,1.0,1.0,1.0,3.9e-05,1.0,1.0,1.0,1.0,1.0
