### RESUME
run_name,arch,date,n_epochs,lr,wd,B,n_epoch_warmup,pretrained,img_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
baseline_rsna_resnet18_v1,resnet18,2026-06-19 00:49,50,0.0001,0.1,16,10,True,1024,0.389791,3,0.833508,37,0.865486,3,0.624928,6,0.681517,26,0.852961,11,0.003183,0.884162,0.9994,0.829915,0.999999,0.849284,0.999403,0.585704,0.999502,0.648103,0.999303,0.534265,8881.8,339.3,3629.2,44.8,0.09138776,0.00182776

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00184397,0.533207,0.735716,0.811476,0.741227,0.721762,0.761771,0.500809,0.745171,0.849005,0.583252,0.461449,0.792415
2,2e-05,0.00183225,0.471677,0.776206,0.856721,0.779512,0.770294,0.788954,0.455522,0.776763,0.857793,0.607528,0.502613,0.767798
3,3e-05,0.00182871,0.456498,0.785354,0.866507,0.784047,0.781454,0.786659,0.389791,0.823776,0.865486,0.624801,0.599755,0.652029
4,4e-05,0.00182728,0.431388,0.805749,0.88245,0.808345,0.802487,0.814289,0.472496,0.777212,0.862992,0.610063,0.503243,0.774451
5,5e-05,0.00182645,0.426762,0.804249,0.884727,0.808265,0.800893,0.815774,0.439661,0.791136,0.863245,0.614747,0.525496,0.740519
6,6e-05,0.00182957,0.407187,0.815996,0.895609,0.817763,0.808754,0.826975,0.427366,0.804462,0.862425,0.624928,0.549773,0.723886
7,7e-05,0.00182795,0.387572,0.826643,0.905838,0.829213,0.820246,0.838379,0.406089,0.815392,0.857714,0.612142,0.580549,0.647372
8,8e-05,0.00182518,0.364119,0.83959,0.917407,0.840942,0.833301,0.848724,0.423588,0.819883,0.853953,0.613308,0.593284,0.634731
9,9e-05,0.00182604,0.360478,0.84169,0.91917,0.84555,0.837423,0.853836,0.43317,0.808055,0.855476,0.61222,0.561287,0.67332
10,0.0001,0.00182942,0.343628,0.853987,0.926833,0.85566,0.846997,0.864503,0.482871,0.796227,0.844745,0.599588,0.537447,0.677977
11,9.985e-05,0.00182952,0.323019,0.863984,0.935345,0.866624,0.857087,0.876376,0.686549,0.703548,0.840647,0.564261,0.421572,0.852961
12,9.939e-05,0.00182748,0.300542,0.873882,0.944326,0.875241,0.866288,0.884381,0.499167,0.788441,0.838932,0.602755,0.521908,0.71324
13,9.862e-05,0.00182638,0.277057,0.888628,0.952575,0.889747,0.87982,0.8999,0.554237,0.771523,0.835372,0.58779,0.49477,0.723886
14,9.756e-05,0.00182508,0.250677,0.898375,0.960898,0.900689,0.891069,0.910519,0.608476,0.762689,0.838029,0.589059,0.482583,0.755822
15,9.62e-05,0.0018285,0.22341,0.913022,0.968698,0.913312,0.905373,0.921391,0.560299,0.818985,0.835479,0.49223,0.667426,0.389887
16,9.456e-05,0.00182433,0.20675,0.91992,0.973314,0.919603,0.91255,0.926765,0.537134,0.808804,0.855466,0.610314,0.563698,0.665336
17,9.264e-05,0.00182476,0.193844,0.923819,0.976366,0.925015,0.917342,0.932817,0.674084,0.765983,0.847129,0.596228,0.487331,0.767798
18,9.046e-05,0.00182778,0.171792,0.933767,0.981186,0.933687,0.925489,0.942032,0.581968,0.780656,0.795443,0.532397,0.511656,0.55489
19,8.803e-05,0.00182614,0.152763,0.942114,0.985186,0.943219,0.938067,0.948427,0.610943,0.821979,0.850396,0.556178,0.633503,0.495675
20,8.537e-05,0.00182856,0.138544,0.947313,0.98788,0.947775,0.941895,0.95373,0.611002,0.791286,0.820403,0.55914,0.532851,0.588157
21,8.249e-05,0.00182637,0.128214,0.953212,0.989431,0.952751,0.948061,0.957488,0.636572,0.807756,0.848125,0.611145,0.560867,0.671324
22,7.941e-05,0.00182206,0.117659,0.957111,0.990902,0.956928,0.952719,0.961174,0.581371,0.814643,0.839415,0.595953,0.584881,0.607452
23,7.615e-05,0.00182652,0.100624,0.963459,0.993486,0.963466,0.958532,0.968452,0.606907,0.819584,0.839622,0.590554,0.603472,0.578177
24,7.273e-05,0.00182392,0.09634,0.963409,0.994056,0.963647,0.96126,0.966046,0.728869,0.791735,0.838267,0.60872,0.52729,0.719894
25,6.917e-05,0.00182652,0.08399,0.968958,0.995617,0.968964,0.965153,0.972805,0.717759,0.796227,0.838879,0.599824,0.537408,0.678643
26,6.549e-05,0.00182633,0.073258,0.974106,0.996531,0.974206,0.972462,0.975955,0.740587,0.83231,0.850812,0.562158,0.681517,0.478377
27,6.171e-05,0.00181909,0.066654,0.976206,0.997055,0.976136,0.972527,0.979771,0.793323,0.787244,0.840896,0.59481,0.520459,0.693945
28,5.786e-05,0.00182771,0.067043,0.975906,0.997077,0.975982,0.973169,0.978811,0.708668,0.824974,0.849396,0.576909,0.63254,0.530273
29,5.397e-05,0.00182513,0.056494,0.981155,0.997809,0.981235,0.978945,0.983536,0.794606,0.807756,0.851981,0.613951,0.560066,0.679308
30,5.005e-05,0.00182737,0.045089,0.984054,0.998659,0.984286,0.982882,0.985695,0.712149,0.816739,0.845348,0.603113,0.588235,0.618762
31,4.613e-05,0.00182777,0.045963,0.984204,0.998597,0.984338,0.981904,0.986783,0.742728,0.831562,0.852279,0.605125,0.640416,0.57352
32,4.224e-05,0.00182628,0.032001,0.989653,0.999358,0.989602,0.987964,0.991245,0.821435,0.808355,0.84928,0.602484,0.564939,0.645376
33,3.839e-05,0.00182773,0.032026,0.989353,0.999357,0.989249,0.988102,0.990399,0.805067,0.82692,0.83914,0.563774,0.651264,0.497006
34,3.461e-05,0.00183043,0.028865,0.990402,0.99945,0.990284,0.988484,0.992092,0.815879,0.829765,0.844136,0.591448,0.642969,0.547572
35,3.093e-05,0.00183186,0.023074,0.992802,0.999633,0.992732,0.992131,0.993333,0.782678,0.824225,0.850601,0.599864,0.614955,0.585496
36,2.737e-05,0.0018281,0.020468,0.993602,0.999744,0.993659,0.992872,0.994447,0.796742,0.831262,0.846981,0.585204,0.65486,0.528942
37,2.395e-05,0.0018297,0.016787,0.995101,0.999825,0.995087,0.99399,0.996186,0.852524,0.833508,0.849339,0.581325,0.669558,0.513639
38,2.069e-05,0.00183415,0.015305,0.995601,0.999863,0.995569,0.995168,0.99597,0.806231,0.829915,0.851408,0.600563,0.636838,0.568197
39,1.761e-05,0.00182904,0.011239,0.997051,0.999935,0.997064,0.996221,0.997908,0.885684,0.830514,0.837967,0.563272,0.67034,0.485695
40,1.473e-05,0.0018278,0.009618,0.997351,0.999966,0.997366,0.997317,0.997416,0.861282,0.819434,0.852011,0.616412,0.590494,0.644711
41,1.207e-05,0.00183147,0.007889,0.9981,0.99998,0.998115,0.997819,0.998413,0.860756,0.815392,0.843322,0.589957,0.589761,0.590153
42,9.64e-06,0.00182937,0.007049,0.9983,0.999985,0.998306,0.998306,0.998306,0.837391,0.823926,0.848307,0.59532,0.616536,0.575516
43,7.46e-06,0.00182812,0.005576,0.9987,0.99999,0.998706,0.99821,0.999204,0.846886,0.82153,0.841438,0.59094,0.610206,0.572854
44,5.54e-06,0.0018298,0.004612,0.9991,0.99999,0.9991,0.9988,0.9994,0.852648,0.822878,0.848875,0.598575,0.610803,0.586826
45,3.9e-06,0.00182919,0.0043,0.99905,0.999995,0.999046,0.998896,0.999197,0.89331,0.829615,0.841405,0.571536,0.658283,0.50499
