image_id,img_rank,npy_file,patch_rank,fine_row,fine_col,score,pred_label,true_label,correct
456,0,hmsips_ddr_v1_patches_00_img456.npy,0,448,448,0.203919,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,1,448,336,0.156107,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,2,784,336,0.155485,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,3,560,224,0.081689,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,4,224,560,0.081077,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,5,336,448,0.074215,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,6,560,448,0.072661,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,7,448,560,0.069245,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,8,560,336,0.052709,0,0,1
456,0,hmsips_ddr_v1_patches_00_img456.npy,9,672,224,0.052894,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,0,336,560,0.24087,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,1,0,224,0.159757,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,2,336,336,0.107658,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,3,224,560,0.078926,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,4,448,336,0.073676,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,5,112,336,0.073171,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,6,448,224,0.070252,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,7,336,448,0.073386,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,8,560,224,0.063363,0,0,1
102,1,hmsips_ddr_v1_patches_01_img102.npy,9,224,336,0.05894,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,0,448,448,0.259605,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,1,0,224,0.149456,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,2,0,560,0.099271,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,3,784,448,0.091868,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,4,112,448,0.078757,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,5,448,560,0.067685,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,6,672,560,0.067171,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,7,0,336,0.063705,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,8,112,336,0.062232,0,0,1
1126,2,hmsips_ddr_v1_patches_02_img1126.npy,9,0,448,0.060249,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,0,448,448,0.230194,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,1,336,224,0.136238,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,2,112,448,0.129922,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,3,448,560,0.117251,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,4,448,224,0.09346,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,5,560,336,0.075499,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,6,336,336,0.06692,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,7,224,336,0.054383,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,8,224,224,0.048828,0,0,1
1003,3,hmsips_ddr_v1_patches_03_img1003.npy,9,448,336,0.047304,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,0,448,448,0.291237,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,1,672,560,0.130254,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,2,224,448,0.102819,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,3,672,448,0.09598,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,4,336,224,0.099973,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,5,336,448,0.08194,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,6,336,336,0.068443,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,7,224,336,0.053797,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,8,784,448,0.038804,0,0,1
914,4,hmsips_ddr_v1_patches_04_img914.npy,9,560,560,0.036755,0,0,1
