### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
hmsips_ddr_v1,2026-06-18 05:44,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,224,112,0.466245,29,0.846584,42,0.87313,47,0.664978,42,0.197003,0.544686,0.93115,0.8334,0.941009,0.869683,0.865303,0.640565,1537.9,608.5,1535.5,73.0,0.07485437,0.00149709

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00159195,1.221466,0.466933,0.122003,0.225661,0.940509,0.656412,0.487096,0.269486
2,2e-05,0.00147942,0.908389,0.638179,0.501324,0.313732,0.804102,0.697163,0.615887,0.414199
3,3e-05,0.00146707,0.799903,0.686262,0.599265,0.402622,0.689601,0.747903,0.719887,0.38711
4,4e-05,0.00148275,0.736667,0.714856,0.648717,0.454662,0.663122,0.778266,0.723505,0.502475
5,5e-05,0.00148582,0.69696,0.736741,0.691163,0.466519,0.839478,0.671594,0.652286,0.426705
6,6e-05,0.00147332,0.677334,0.745847,0.7035,0.454761,0.593969,0.787855,0.757944,0.430586
7,7e-05,0.00147863,0.650296,0.764696,0.736847,0.481609,0.616072,0.786656,0.792605,0.509289
8,8e-05,0.0014908,0.63066,0.765655,0.730963,0.515745,0.616677,0.788254,0.762806,0.531872
9,9e-05,0.00150222,0.612814,0.778115,0.74946,0.520212,0.577585,0.804634,0.785395,0.541102
10,0.0001,0.00149504,0.604499,0.780351,0.756296,0.524246,0.557503,0.811027,0.805858,0.562943
11,9.985e-05,0.0014806,0.585703,0.788498,0.769357,0.549237,0.631388,0.76668,0.772194,0.54203
12,9.939e-05,0.00148739,0.571353,0.790575,0.771514,0.555533,0.539616,0.810627,0.804937,0.558249
13,9.862e-05,0.00150623,0.557056,0.798882,0.781686,0.571442,0.551974,0.795845,0.797356,0.569871
14,9.756e-05,0.00148334,0.550275,0.802077,0.78812,0.581276,0.599368,0.788254,0.801433,0.557544
15,9.62e-05,0.00150466,0.52753,0.804473,0.78766,0.5936,0.556957,0.823811,0.826047,0.619569
16,9.456e-05,0.00148737,0.512201,0.819968,0.810333,0.60094,0.57619,0.805433,0.820733,0.52455
17,9.264e-05,0.00148938,0.501042,0.817093,0.804795,0.626565,0.60354,0.78346,0.789831,0.547629
18,9.046e-05,0.00149337,0.495451,0.819808,0.812126,0.630941,0.552716,0.807431,0.805701,0.599289
19,8.803e-05,0.00150256,0.480973,0.826677,0.825803,0.631551,0.590903,0.782261,0.815777,0.569713
20,8.537e-05,0.0014902,0.463046,0.833227,0.825504,0.651598,0.543396,0.823811,0.823621,0.645058
21,8.249e-05,0.00147939,0.446917,0.836262,0.843411,0.649487,0.566307,0.811826,0.80379,0.626342
22,7.941e-05,0.00148355,0.440511,0.84393,0.836524,0.670903,0.550767,0.799441,0.832185,0.622341
23,7.615e-05,0.00148002,0.42564,0.841214,0.845444,0.655375,0.506628,0.827407,0.83415,0.607046
24,7.273e-05,0.00149191,0.421967,0.850479,0.855034,0.678186,0.533896,0.82461,0.81953,0.639475
25,6.917e-05,0.00147826,0.410297,0.852556,0.857865,0.679005,0.505064,0.824211,0.840877,0.624832
26,6.549e-05,0.0014997,0.397102,0.854313,0.856491,0.700646,0.511913,0.826209,0.84373,0.654962
27,6.171e-05,0.00147912,0.384342,0.861342,0.870984,0.701339,0.568164,0.799441,0.832905,0.613601
28,5.786e-05,0.00148997,0.380718,0.861342,0.87503,0.699389,0.516307,0.817419,0.847125,0.61501
29,5.397e-05,0.0015014,0.345343,0.874121,0.882334,0.73867,0.466245,0.846185,0.854395,0.622341
30,5.005e-05,0.0014939,0.355917,0.872364,0.878668,0.724456,0.485375,0.818218,0.861893,0.63941
31,4.613e-05,0.00149567,0.333923,0.880192,0.891833,0.733257,0.489273,0.842988,0.862596,0.658519
32,4.224e-05,0.00150845,0.323798,0.883546,0.894724,0.751528,0.576494,0.80024,0.851406,0.592747
33,3.839e-05,0.0015013,0.313923,0.882268,0.891622,0.749055,0.543612,0.819017,0.852157,0.643842
34,3.461e-05,0.001505,0.308026,0.885783,0.896663,0.768184,0.505876,0.828206,0.859421,0.636017
35,3.093e-05,0.00149731,0.286881,0.894569,0.902931,0.783496,0.499148,0.830204,0.866824,0.631617
36,2.737e-05,0.0015009,0.271735,0.905431,0.920144,0.797144,0.500911,0.832601,0.864107,0.640143
37,2.395e-05,0.00150437,0.276497,0.89984,0.913321,0.794938,0.50215,0.840192,0.862578,0.65306
38,2.069e-05,0.00150756,0.261618,0.90623,0.915821,0.801876,0.545205,0.829804,0.86422,0.643853
39,1.761e-05,0.00150073,0.254293,0.909265,0.919501,0.810265,0.50778,0.836596,0.870974,0.644182
40,1.473e-05,0.00148995,0.24202,0.914696,0.927437,0.818341,0.53247,0.830603,0.855886,0.635962
41,1.207e-05,0.00150675,0.230802,0.919169,0.930904,0.835808,0.551696,0.828606,0.866577,0.633143
