### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
hmsips_rsna_v1,2026-06-18 10:18,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,256,128,0.389736,13,0.822878,41,0.869086,18,0.621891,21,0.61396,41,0.936128,3,0.039059,0.815507,0.988053,0.815541,0.998557,0.841019,0.988137,0.572816,0.983208,0.598117,0.993116,0.549568,2000.9,250.3,1577.7,66.6,0.07249006,0.0014498

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00143712,0.583099,0.690177,0.759488,0.701215,0.677377,0.726791,0.585159,0.696811,0.812638,0.546269,0.411824,0.811045
2,2e-05,0.00146521,0.508584,0.752312,0.829569,0.754521,0.747375,0.761805,0.577006,0.724959,0.845768,0.575653,0.440906,0.829009
3,3e-05,0.00145621,0.481388,0.772307,0.849751,0.778636,0.764481,0.793325,0.754742,0.618955,0.856665,0.525098,0.364886,0.936128
4,4e-05,0.00145809,0.461577,0.783454,0.863011,0.786538,0.769698,0.804131,0.412084,0.799371,0.86428,0.61975,0.540327,0.726547
5,5e-05,0.00145644,0.459577,0.785054,0.864871,0.788386,0.773913,0.80341,0.505498,0.764186,0.858164,0.603175,0.485401,0.796407
6,6e-05,0.00146614,0.447814,0.793652,0.872151,0.798004,0.778871,0.8181,0.410921,0.798922,0.862726,0.617923,0.539761,0.722555
7,7e-05,0.00145358,0.450069,0.792002,0.870696,0.798098,0.780932,0.816035,0.540096,0.747417,0.865581,0.599763,0.466077,0.840985
8,8e-05,0.00145782,0.447338,0.793602,0.871426,0.801519,0.779086,0.825282,0.433613,0.780057,0.866878,0.614132,0.507378,0.777778
9,9e-05,0.00145466,0.448477,0.790752,0.87081,0.800153,0.777438,0.824235,0.648707,0.625094,0.843847,0.52232,0.366141,0.910845
10,0.0001,0.00145196,0.442689,0.797801,0.874196,0.804391,0.778818,0.8317,0.469855,0.747717,0.86593,0.600805,0.466519,0.843646
11,9.985e-05,0.00145448,0.439855,0.795501,0.876332,0.80074,0.780701,0.821836,0.540259,0.721365,0.865019,0.586353,0.440254,0.877578
12,9.939e-05,0.00146293,0.451135,0.791102,0.869546,0.796315,0.776595,0.817063,0.490031,0.773918,0.86906,0.617915,0.498571,0.812375
13,9.862e-05,0.00145753,0.435269,0.80125,0.87955,0.805651,0.787557,0.824595,0.389736,0.814793,0.857929,0.615958,0.577416,0.660013
14,9.756e-05,0.00146471,0.432667,0.803249,0.881095,0.808355,0.788169,0.829602,0.416643,0.799671,0.859089,0.613518,0.542113,0.706587
15,9.62e-05,0.00145841,0.424807,0.806898,0.885448,0.809507,0.79098,0.828923,0.50948,0.750262,0.864891,0.599424,0.468997,0.830339
16,9.456e-05,0.00145905,0.415861,0.813097,0.890313,0.819293,0.798267,0.841457,0.441337,0.77287,0.858235,0.603191,0.496983,0.767132
17,9.264e-05,0.00145902,0.408139,0.816096,0.894522,0.822588,0.796656,0.850264,0.395074,0.817038,0.866554,0.620732,0.581734,0.665336
18,9.046e-05,0.0014532,0.389015,0.824194,0.904109,0.829842,0.805258,0.855974,0.51436,0.750412,0.869086,0.603001,0.469585,0.842315
19,8.803e-05,0.00145113,0.384884,0.830492,0.906368,0.836681,0.813829,0.860852,0.537001,0.738284,0.856067,0.588899,0.455438,0.833001
20,8.537e-05,0.00145949,0.369887,0.83884,0.913453,0.844537,0.821328,0.869095,0.465379,0.774667,0.86161,0.607766,0.499572,0.775782
21,8.249e-05,0.00146598,0.347939,0.851887,0.923957,0.855046,0.835628,0.875388,0.449496,0.795179,0.863632,0.621891,0.531915,0.748503
22,7.941e-05,0.00145773,0.33695,0.855986,0.928212,0.85988,0.83871,0.882147,0.499944,0.788292,0.861888,0.615761,0.520441,0.753826
23,7.615e-05,0.00144589,0.314239,0.868683,0.937783,0.871972,0.85265,0.892191,0.441093,0.804611,0.862735,0.619423,0.551402,0.706587
24,7.273e-05,0.0014456,0.294549,0.87978,0.944964,0.88231,0.860046,0.905757,0.451753,0.804162,0.85396,0.608149,0.553134,0.675316
25,6.917e-05,0.00144259,0.273267,0.890277,0.951947,0.893679,0.872258,0.916178,0.508919,0.791885,0.860191,0.613674,0.526969,0.734531
26,6.549e-05,0.00144421,0.256793,0.895926,0.958489,0.897063,0.883178,0.911392,0.502096,0.785746,0.85221,0.594962,0.517734,0.699268
27,6.171e-05,0.00144593,0.245313,0.902274,0.961935,0.903261,0.8907,0.916181,0.527324,0.785297,0.855169,0.608411,0.51598,0.741184
28,5.786e-05,0.0014494,0.227958,0.913072,0.967163,0.913915,0.900585,0.927645,0.542401,0.802815,0.850412,0.611848,0.549206,0.690619
29,5.397e-05,0.00144285,0.214382,0.91867,0.970074,0.919571,0.907415,0.932057,0.528317,0.798623,0.83944,0.584235,0.545612,0.628743
30,5.005e-05,0.00144505,0.206401,0.92162,0.972195,0.923497,0.908777,0.938703,0.592619,0.78365,0.844701,0.597829,0.513876,0.714571
31,4.613e-05,0.00144774,0.179361,0.930967,0.978628,0.932367,0.919888,0.945189,0.533992,0.812697,0.852478,0.597878,0.578358,0.618762
32,4.224e-05,0.00144275,0.165947,0.937616,0.981655,0.938937,0.929478,0.948591,0.599277,0.798173,0.851544,0.609954,0.539683,0.701264
33,3.839e-05,0.00144241,0.146918,0.946563,0.984758,0.947134,0.937445,0.957026,0.58895,0.805959,0.841461,0.581666,0.56489,0.599468
34,3.461e-05,0.0014445,0.134552,0.951562,0.987659,0.951927,0.946061,0.957867,0.600998,0.813146,0.843818,0.596117,0.58034,0.612774
35,3.093e-05,0.00144439,0.126289,0.955011,0.988582,0.955569,0.947987,0.963273,0.588118,0.810151,0.850519,0.586162,0.575272,0.597472
36,2.737e-05,0.00144126,0.110024,0.962059,0.991036,0.962101,0.953861,0.970485,0.636246,0.810451,0.846039,0.582454,0.577502,0.587492
37,2.395e-05,0.00144383,0.099977,0.965709,0.992536,0.965775,0.958317,0.973351,0.679531,0.815392,0.844048,0.579898,0.594274,0.566201
38,2.069e-05,0.00144126,0.089894,0.968708,0.994068,0.968463,0.96303,0.973959,0.671243,0.808953,0.840081,0.584094,0.572524,0.596141
39,1.761e-05,0.00144261,0.075685,0.973857,0.995639,0.974131,0.968716,0.979606,0.715843,0.813445,0.841754,0.586596,0.585043,0.588157
40,1.473e-05,0.00144274,0.072955,0.975406,0.99564,0.97541,0.970269,0.980605,0.698004,0.818236,0.844228,0.584531,0.601832,0.568197
41,1.207e-05,0.00144376,0.065621,0.977806,0.996538,0.977576,0.97198,0.983237,0.711614,0.822878,0.844007,0.593051,0.61396,0.57352
