image_id,img_rank,npy_file,patch_rank,fine_row,fine_col,score,pred_label,true_label,correct
654,0,hmsips_node21_v1_patches_00_img654.npy,0,896,640,0.100524,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,1,896,512,0.100494,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,2,512,512,0.100436,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,3,640,512,0.100304,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,4,384,512,0.100278,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,5,0,512,0.10022,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,6,128,512,0.100087,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,7,0,640,0.099831,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,8,256,512,0.099467,0,0,1
654,0,hmsips_node21_v1_patches_00_img654.npy,9,768,512,0.098359,0,0,1
114,1,hmsips_node21_v1_patches_01_img114.npy,0,768,896,0.100879,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,1,384,768,0.100843,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,2,384,384,0.100586,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,3,512,768,0.100505,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,4,640,768,0.100293,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,5,256,768,0.100294,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,6,384,256,0.100231,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,7,256,384,0.099396,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,8,256,256,0.098895,1,1,1
114,1,hmsips_node21_v1_patches_01_img114.npy,9,640,896,0.098079,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,0,512,768,0.101335,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,1,640,896,0.101054,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,2,256,768,0.100779,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,3,256,256,0.100569,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,4,384,256,0.100004,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,5,384,768,0.099836,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,6,384,896,0.099738,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,7,512,256,0.09934,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,8,640,768,0.099261,1,1,1
25,2,hmsips_node21_v1_patches_02_img25.npy,9,512,896,0.098084,1,1,1
759,3,hmsips_node21_v1_patches_03_img759.npy,0,256,768,0.111237,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,1,0,384,0.109917,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,2,0,256,0.10086,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,3,512,896,0.099824,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,4,640,896,0.098972,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,5,256,896,0.098049,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,6,384,768,0.096206,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,7,128,384,0.095562,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,8,512,768,0.095025,0,0,1
759,3,hmsips_node21_v1_patches_03_img759.npy,9,640,768,0.094348,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,0,768,512,0.114513,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,1,640,512,0.111752,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,2,512,512,0.108307,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,3,384,640,0.107385,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,4,640,640,0.106851,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,5,896,640,0.09998,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,6,896,512,0.092156,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,7,0,0,0.087498,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,8,128,128,0.086673,0,0,1
281,4,hmsips_node21_v1_patches_04_img281.npy,9,512,640,0.084884,0,0,1
