image_id,img_rank,npy_file,patch_rank,fine_row,fine_col,score,pred_label,true_label,correct
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,0,640,768,0.25777,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,1,512,768,0.146047,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,2,512,256,0.118757,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,3,640,256,0.110221,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,4,384,768,0.082608,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,5,640,384,0.07196,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,6,512,384,0.067097,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,7,256,384,0.051032,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,8,256,768,0.048162,0,0,1
5238,0,hmsips_rsna_v1_patches_00_img5238.npy,9,384,384,0.046347,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,0,384,256,0.197408,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,1,640,512,0.171173,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,2,640,256,0.159134,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,3,640,640,0.126492,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,4,512,256,0.119112,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,5,768,640,0.091048,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,6,768,512,0.072506,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,7,512,640,0.026941,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,8,384,384,0.023148,0,0,1
912,1,hmsips_rsna_v1_patches_01_img912.npy,9,512,384,0.013038,0,0,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,0,768,256,0.297947,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,1,640,256,0.241139,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,2,640,768,0.192396,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,3,768,384,0.090145,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,4,512,768,0.050077,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,5,512,256,0.045957,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,6,640,384,0.039179,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,7,384,768,0.023804,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,8,512,384,0.012522,1,1,1
204,2,hmsips_rsna_v1_patches_02_img204.npy,9,256,896,0.006835,1,1,1
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,0,512,256,0.310854,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,1,512,640,0.218102,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,2,640,256,0.179456,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,3,384,256,0.069462,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,4,384,640,0.066696,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,5,640,640,0.045989,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,6,256,512,0.040417,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,7,384,512,0.033143,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,8,256,256,0.01832,1,0,0
6074,3,hmsips_rsna_v1_patches_03_img6074.npy,9,256,640,0.017561,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,0,256,640,0.352542,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,1,384,640,0.209121,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,2,384,256,0.10488,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,3,512,256,0.085883,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,4,384,384,0.083452,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,5,256,384,0.071279,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,6,256,256,0.049272,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,7,128,0,0.02255,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,8,384,512,0.015324,1,0,0
2253,4,hmsips_rsna_v1_patches_04_img2253.npy,9,512,384,0.005696,1,0,0
