### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_node21_v1,2026-06-25 01:37,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,6.1e-05,41,1.0,5,1.0,3,1.0,5,1.0,2,1.0,3,0.00012,0.002991,1.0,0.99898,1.0,1.0,1.0,0.997712,1.0,1.0,1.0,0.995434,1965.4,220.4,898.2,43.2,0.02212594,0.00044252

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00068635,0.298638,0.875448,0.940745,0.72449,0.75265,0.698361,0.035696,0.992857,0.99985,0.984199,0.973214,0.995434
2,2e-05,0.00043622,0.029348,0.991543,0.999373,0.982016,0.979348,0.984699,0.008225,0.99898,0.999988,0.997712,1.0,0.995434
3,3e-05,0.00043957,0.012956,0.996412,0.999874,0.992358,0.991276,0.993443,0.005371,0.996939,1.0,0.993197,0.986486,1.0
4,4e-05,0.000442,0.015819,0.994874,0.999755,0.989107,0.985885,0.99235,0.003197,0.997959,0.999988,0.995434,0.995434,0.995434
5,5e-05,0.00043891,0.030618,0.990005,0.999094,0.978793,0.974026,0.983607,0.001522,1.0,1.0,1.0,1.0,1.0
6,6e-05,0.00044269,0.026139,0.989493,0.9994,0.977632,0.976035,0.979235,0.012195,0.995918,0.999934,0.990909,0.986425,0.995434
7,7e-05,0.00043451,0.008838,0.997693,0.999912,0.995095,0.992391,0.997814,0.004395,0.99898,0.999982,0.997712,1.0,0.995434
8,8e-05,0.00043716,0.01566,0.996156,0.999351,0.991843,0.987013,0.996721,0.001344,1.0,1.0,1.0,1.0,1.0
9,9e-05,0.00044047,0.027477,0.990261,0.99907,0.979348,0.974054,0.984699,0.01147,0.99898,0.999616,0.997722,0.995455,1.0
10,0.0001,0.00043798,0.013518,0.995131,0.999804,0.989634,0.988017,0.991257,0.013152,0.994898,0.999958,0.988662,0.981982,0.995434
11,9.985e-05,0.00043755,0.012151,0.9959,0.999662,0.991266,0.990185,0.99235,0.040103,0.991837,0.998344,0.981735,0.981735,0.981735
