image_id,img_rank,npy_file,patch_rank,patch_idx,row,col,score,pred_label,true_label,correct
654,0,ips_node21_v1_patches_00_img654.npy,0,34,4,2,1.12687,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,1,26,3,2,1.060295,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,2,22,2,6,1.045092,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,3,30,3,6,0.962905,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,4,4,0,4,0.969016,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,5,20,2,4,0.969033,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,6,28,3,4,0.967998,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,7,23,2,7,0.966567,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,8,12,1,4,0.967182,0,0,1
654,0,ips_node21_v1_patches_00_img654.npy,9,17,2,1,0.965042,0,0,1
114,1,ips_node21_v1_patches_01_img114.npy,0,38,4,6,3.342523,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,1,48,6,0,1.166972,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,2,56,7,0,0.971522,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,3,19,2,3,0.584832,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,4,0,0,0,0.949028,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,5,46,5,6,0.488039,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,6,50,6,2,0.683724,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,7,51,6,3,0.664109,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,8,24,3,0,0.647514,1,1,1
114,1,ips_node21_v1_patches_01_img114.npy,9,63,7,7,0.501738,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,0,42,5,2,2.988685,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,1,46,5,6,0.89609,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,2,51,6,3,0.899909,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,3,49,6,1,0.876448,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,4,37,4,5,0.614046,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,5,0,0,0,0.73735,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,6,60,7,4,0.821075,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,7,59,7,3,0.784458,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,8,57,7,1,0.698879,1,1,1
25,2,ips_node21_v1_patches_02_img25.npy,9,61,7,5,0.68306,1,1,1
759,3,ips_node21_v1_patches_03_img759.npy,0,19,2,3,1.909666,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,1,63,7,7,1.019203,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,2,48,6,0,0.995758,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,3,8,1,0,0.914453,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,4,26,3,2,0.938988,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,5,62,7,6,0.873311,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,6,35,4,3,0.870339,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,7,21,2,5,0.78439,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,8,36,4,4,0.849613,0,0,1
759,3,ips_node21_v1_patches_03_img759.npy,9,17,2,1,0.844278,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,0,48,6,0,2.899463,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,1,51,6,3,0.795411,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,2,52,6,4,0.793978,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,3,16,2,0,0.790606,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,4,61,7,5,0.790061,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,5,50,6,2,0.789799,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,6,60,7,4,0.787893,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,7,59,7,3,0.785089,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,8,44,5,4,0.783996,0,0,1
281,4,ips_node21_v1_patches_04_img281.npy,9,58,7,2,0.783705,0,0,1
