### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_rsna_v1,2026-06-26 00:14,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.39926,6,0.821231,26,0.871304,5,0.744083,6,0.744483,26,0.788307,5,0.022382,1.007763,0.992702,0.815541,0.999456,0.838919,0.992701,0.71609,0.992724,0.736115,0.992686,0.702522,1965.4,334.0,898.2,85.1,0.08208108,0.00164162

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.0016341,0.568798,0.705924,0.774382,0.704911,0.708059,0.705546,0.569401,0.702051,0.825412,0.663795,0.670408,0.740487
2,2e-05,0.00164339,0.495647,0.76051,0.839879,0.760494,0.760598,0.76052,0.451658,0.775865,0.853667,0.722901,0.708612,0.767573
3,3e-05,0.00164463,0.467413,0.777756,0.858931,0.777669,0.77804,0.777691,0.438948,0.791885,0.859672,0.738445,0.722407,0.778853
4,4e-05,0.001644,0.453374,0.793752,0.868299,0.793575,0.794232,0.793548,0.58552,0.69756,0.857406,0.666543,0.681706,0.759544
5,5e-05,0.00164467,0.434568,0.80125,0.87895,0.80096,0.802116,0.800908,0.424652,0.792634,0.871304,0.74246,0.72617,0.788307
6,6e-05,0.0016453,0.434693,0.7984,0.878114,0.798313,0.799698,0.798837,0.39926,0.800719,0.867814,0.744083,0.728084,0.776998
7,7e-05,0.0016467,0.425509,0.802849,0.884028,0.802544,0.804211,0.802632,0.523434,0.737536,0.868424,0.700524,0.700115,0.780142
8,8e-05,0.00164509,0.42821,0.803649,0.882372,0.803245,0.805111,0.803235,0.468677,0.777512,0.861861,0.729452,0.715441,0.782327
9,9e-05,0.00164471,0.421946,0.805949,0.885477,0.805551,0.807491,0.805561,0.474845,0.760293,0.847576,0.709975,0.698343,0.76154
10,0.0001,0.00164484,0.42343,0.806148,0.885306,0.805944,0.807222,0.806054,0.471231,0.774667,0.86214,0.727612,0.714269,0.782853
11,9.985e-05,0.00164476,0.423623,0.804549,0.884594,0.804178,0.806368,0.804336,0.625107,0.696811,0.861919,0.668368,0.687211,0.768031
12,9.939e-05,0.0016414,0.413369,0.811347,0.89072,0.811255,0.812643,0.811714,0.434602,0.788891,0.861958,0.736022,0.720226,0.778102
13,9.862e-05,0.0016421,0.420377,0.807948,0.886007,0.807851,0.809564,0.808502,0.520043,0.744123,0.856286,0.701257,0.695451,0.768104
