### RESUME
run_name,mode,date,n_epochs,lr,wd,batch_size,n_epoch_warmup,enc_type,pretrained,tau,lambda_m,lambda_c,mis_h_ratio,mis_l_ratio,best_val_loss,best_ep_loss,best_val_kappa,best_ep_kappa,best_val_accuracy,best_ep_accuracy,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_kappa,final_val_kappa,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ce_ddr_v1,ce,2026-06-25 03:18,50,0.001,0.0001,16,10,resnet50,True,0.07,1.0,1.0,0.5,0.15,0.464659,47,0.870532,42,0.846984,47,0.641248,47,0.287183,0.490382,0.911453,0.864951,0.89377,0.837795,0.758503,0.625937,7560.1,203.0,1316.3,54.5,0.02957296,0.00059146

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,val_loss,train_kappa,val_kappa,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0001,0.00067472,0.751942,0.536655,0.662431,0.798792,0.722204,0.818618,0.417375,0.557188
2,0.0002,0.00058943,0.678112,0.652746,0.716892,0.76805,0.755431,0.784658,0.444946,0.569616
3,0.0003,0.0005927,0.684338,0.77031,0.706771,0.739984,0.755272,0.779465,0.47323,0.538684
4,0.0004,0.00059457,0.677635,0.694128,0.704499,0.740018,0.753035,0.777467,0.483636,0.543438
5,0.0005,0.00059406,0.669416,0.705577,0.719859,0.712298,0.757987,0.763084,0.481632,0.500018
6,0.0006,0.00059498,0.69059,0.644305,0.698439,0.770018,0.747125,0.789453,0.465872,0.493173
7,0.0007,0.00059096,0.697008,0.718193,0.69615,0.737473,0.750319,0.748302,0.468342,0.462455
8,0.0008,0.0005922,0.684478,0.851545,0.707961,0.697288,0.754473,0.699161,0.490365,0.471703
9,0.0009,0.0005908,0.686841,0.969337,0.708418,0.594356,0.750958,0.674391,0.471871,0.400353
10,0.001,0.00059007,0.696876,1.304477,0.67464,0.084103,0.739457,0.409509,0.479544,0.181799
11,0.001,0.00059518,0.685319,1.026082,0.700095,0.677752,0.752077,0.678386,0.466331,0.397698
12,0.00099846,0.00059146,0.672971,0.603445,0.71202,0.802055,0.755911,0.812625,0.484415,0.56142
13,0.00099385,0.00058944,0.65685,0.616203,0.726656,0.779458,0.766454,0.788654,0.496418,0.560073
14,0.0009862,0.00059108,0.639654,0.689027,0.737869,0.777278,0.776038,0.771874,0.520916,0.556261
15,0.00097555,0.00059132,0.632657,0.632714,0.72862,0.751622,0.773642,0.78306,0.517103,0.495121
16,0.00096198,0.00059258,0.613015,0.704882,0.754822,0.817345,0.783387,0.76708,0.52414,0.570809
17,0.00094556,0.00059021,0.593193,0.653786,0.767334,0.767928,0.791374,0.801039,0.521599,0.491114
18,0.00092639,0.00059048,0.597824,0.576504,0.759242,0.787223,0.784185,0.805833,0.541889,0.588481
19,0.0009046,0.00059129,0.583243,0.55737,0.770121,0.794411,0.79393,0.822213,0.535282,0.582574
