### RESUME
run_name,mode,date,n_epochs,lr,wd,batch_size,n_epoch_warmup,enc_type,pretrained,tau,lambda_m,lambda_c,mis_h_ratio,mis_l_ratio,best_val_loss,best_ep_loss,best_val_kappa,best_ep_kappa,best_val_accuracy,best_ep_accuracy,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_kappa,final_val_kappa,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
qmix_ddr_v1,qmix,2026-06-25 17:54,50,0.001,0.0001,16,10,resnet50,True,0.07,1.0,1.0,0.5,0.15,1.116833,2,0.690121,4,0.755094,4,0.344543,4,3.509465,2.152176,0.030588,0.136155,0.278789,0.378346,0.172424,0.181315,8348.9,543.9,2105.1,74.6,0.16612681,0.00332254

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,val_loss,train_kappa,val_kappa,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0001,0.00171809,1.554652,1.134249,0.095963,0.584228,0.328935,0.718738,0.177087,0.302152
2,0.0002,0.00170134,1.536671,1.116833,0.122413,0.500277,0.347687,0.683979,0.194088,0.29898
3,0.0003,0.00170379,1.534758,1.17256,0.114567,0.501566,0.346298,0.679185,0.188189,0.27851
4,0.0004,0.00169865,1.536805,1.259218,0.116073,0.690121,0.341436,0.755094,0.178256,0.344543
5,0.0005,0.0017009,1.540033,1.171686,0.102871,0.51189,0.339214,0.68318,0.176299,0.281605
6,0.0006,0.00170105,1.547756,1.288784,0.082994,0.613184,0.331991,0.714742,0.167129,0.305109
7,0.0007,0.00168898,1.554056,1.277402,0.043659,0.30603,0.312682,0.602477,0.153519,0.236421
8,0.0008,0.00170078,1.56714,1.363285,0.018564,0.451246,0.300042,0.619656,0.14543,0.293165
9,0.0009,0.00169344,1.562291,1.326254,0.012384,0.364209,0.299486,0.614862,0.135146,0.257531
10,0.001,0.00169592,1.555285,1.350276,0.033911,0.277072,0.307543,0.589293,0.148708,0.284939
11,0.001,0.00375074,4.673596,1.427558,0.014219,-0.026314,0.293513,0.358769,0.141761,0.172506
12,0.00099846,0.00374927,4.633111,1.386687,0.008456,0.060606,0.263787,0.371554,0.122537,0.165812
13,0.00099385,0.00374778,4.662415,1.516919,0.00974,-0.021633,0.273232,0.338394,0.168641,0.140967
14,0.0009862,0.0037326,4.227019,1.755418,0.047576,-0.003456,0.269065,0.226528,0.173854,0.117911
15,0.00097555,0.00373776,4.670498,1.361686,0.033268,0.043223,0.273649,0.512585,0.184626,0.159112
16,0.00096198,0.00373346,4.093821,1.822192,0.014492,-0.002284,0.268648,0.183779,0.174924,0.112853
17,0.00094556,0.00374177,4.253178,1.796613,0.041565,-0.125278,0.279067,0.288054,0.148729,0.131608
18,0.00092639,0.00374653,4.26951,2.543145,0.003277,-0.058013,0.23406,0.098282,0.174663,0.070375
19,0.0009046,0.00372421,4.313739,2.438527,0.045703,-0.086529,0.256425,0.072713,0.177951,0.049376
20,0.00088032,0.00373391,4.135637,2.177586,0.038977,-0.101899,0.244339,0.105074,0.153569,0.055715
21,0.0008537,0.00374148,4.118632,2.260684,0.037094,0.030127,0.239339,0.196165,0.146681,0.102701
22,0.0008249,0.00373406,3.998563,2.900795,0.02802,-0.006044,0.236422,0.065521,0.179972,0.043808
23,0.0007941,0.00372317,4.032756,2.373298,0.011924,0.062129,0.251979,0.26648,0.162362,0.124655
24,0.00076149,0.00372889,4.270901,2.149515,0.014459,-0.016359,0.262953,0.165801,0.188598,0.110089
25,0.00072727,0.00371908,4.085388,2.349624,0.019128,0.015088,0.244062,0.131842,0.192018,0.090143
26,0.00069165,0.00372224,3.954794,2.914973,0.029157,-0.03995,0.248368,0.079105,0.190841,0.056461
27,0.00065485,0.00373242,3.986926,2.256688,0.035897,0.063187,0.254063,0.115461,0.186101,0.088102
28,0.00061711,0.00371484,4.045732,3.129549,0.029664,0.074802,0.24295,0.106272,0.194771,0.089278
29,0.00057864,0.00371276,4.031341,2.268072,0.028375,-0.025265,0.257119,0.242109,0.173508,0.122057
30,0.00053969,0.00371841,3.574407,2.663015,0.021223,-0.003564,0.247951,0.063923,0.17715,0.044805
31,0.0005005,0.00372745,3.828473,2.157484,0.019497,0.046161,0.266565,0.30004,0.1567,0.127314
32,0.00046131,0.00373963,4.232684,2.263411,0.011484,-0.003402,0.262536,0.23372,0.15026,0.10852
33,0.00042236,0.00371517,4.093063,2.301658,0.005385,0.006817,0.25948,0.234519,0.160185,0.128704
34,0.00038389,0.00371977,3.991255,2.350326,0.018976,0.009238,0.267537,0.243708,0.143679,0.111523
35,0.00034615,0.00371929,3.638838,2.233006,0.007594,0.006989,0.248785,0.250499,0.164977,0.113975
36,0.00030935,0.00371196,3.408495,2.27008,0.023609,0.025398,0.248507,0.268877,0.178268,0.12077
37,0.00027373,0.00371905,3.160593,2.807967,0.007743,0.006133,0.248923,0.224131,0.13891,0.118573
38,0.00023951,0.00372283,4.050861,2.02063,0.027905,0.082344,0.266426,0.272473,0.153213,0.134216
39,0.0002069,0.00372317,3.243878,2.520207,0.020203,-0.158588,0.250313,0.147823,0.175997,0.090917
40,0.0001761,0.00372094,3.895759,2.579319,0.016642,0.147882,0.260731,0.220935,0.155542,0.115173
41,0.0001473,0.00372103,3.964172,2.177268,0.01226,0.057042,0.267815,0.287655,0.150175,0.128742
42,0.00012068,0.00373218,3.684242,2.270314,0.007851,0.034227,0.27351,0.281262,0.139785,0.124162
43,9.64e-05,0.00372579,3.814953,2.646654,0.015176,0.127976,0.267954,0.196564,0.136747,0.10415
44,7.461e-05,0.00372378,3.99367,1.947131,0.012949,0.218128,0.267815,0.385937,0.146042,0.186336
45,5.544e-05,0.00373117,3.677206,2.369097,0.028675,0.140346,0.26462,0.32481,0.187163,0.17808
46,3.902e-05,0.00372796,3.878575,2.073578,0.025528,0.12249,0.271982,0.378346,0.167901,0.176852
47,2.545e-05,0.00372069,3.612998,2.199748,0.023897,-0.019307,0.268232,0.22533,0.178571,0.125415
48,1.48e-05,0.00373067,3.5799,2.131425,0.036492,0.155939,0.268648,0.375949,0.180794,0.187157
49,7.15e-06,0.00372537,3.549157,2.116692,0.031273,0.150169,0.272121,0.385138,0.175161,0.188137
