### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
msips_ddr_v1,2026-06-15 06:26,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,128,64,0.444863,35,0.854974,35,0.888917,45,0.674859,35,0.133778,0.570499,0.951597,0.838194,0.95621,0.87444,0.909959,0.653102,2928.1,611.8,2922.3,85.8,0.1048903,0.00209781

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00218818,1.152193,0.496326,0.12484,0.223363,0.993663,0.636836,0.454941,0.268582
2,2e-05,0.00207124,0.954926,0.611022,0.446791,0.281795,0.827093,0.682781,0.575398,0.304954
3,3e-05,0.00205841,0.812269,0.688019,0.590118,0.369597,0.721886,0.747103,0.685059,0.433941
4,4e-05,0.00206612,0.753578,0.713898,0.646658,0.418202,0.665938,0.763883,0.72049,0.453625
5,5e-05,0.00206613,0.729392,0.723642,0.650995,0.418156,0.639018,0.785457,0.710874,0.39583
6,6e-05,0.00209661,0.680912,0.74393,0.687833,0.452073,0.653543,0.775869,0.716696,0.453489
7,7e-05,0.0020826,0.652943,0.758626,0.716713,0.47944,0.56488,0.813424,0.797532,0.548103
8,8e-05,0.00205367,0.625693,0.769169,0.730706,0.508372,0.662938,0.761886,0.760299,0.540499
9,9e-05,0.00207133,0.595661,0.78099,0.751803,0.532973,0.655231,0.772673,0.755091,0.525003
10,0.0001,0.00209356,0.572773,0.784824,0.763928,0.548302,0.663588,0.762285,0.766835,0.50097
11,9.985e-05,0.00209454,0.569481,0.798243,0.769233,0.563196,0.551306,0.809429,0.794694,0.595692
12,9.939e-05,0.00209695,0.535958,0.805591,0.784488,0.589534,0.548865,0.811426,0.8344,0.562588
13,9.862e-05,0.00209871,0.49848,0.821246,0.808629,0.613877,0.473195,0.820216,0.850908,0.640667
14,9.756e-05,0.00209223,0.493994,0.817252,0.806281,0.610922,0.570832,0.810627,0.782086,0.613824
15,9.62e-05,0.00210303,0.506746,0.820288,0.811983,0.594926,0.563308,0.810228,0.793843,0.603457
16,9.456e-05,0.00209142,0.477906,0.826518,0.817426,0.620466,0.486042,0.826608,0.828334,0.62883
17,9.264e-05,0.00210206,0.468865,0.832748,0.818862,0.641319,0.457962,0.834199,0.837413,0.622586
18,9.046e-05,0.00209603,0.455351,0.838658,0.835437,0.653606,0.499648,0.809029,0.804982,0.626723
19,8.803e-05,0.00209571,0.442749,0.840415,0.83514,0.6649,0.450936,0.836596,0.858452,0.610421
20,8.537e-05,0.00209052,0.425095,0.846006,0.846075,0.67133,0.538931,0.805833,0.831546,0.588591
21,8.249e-05,0.00210219,0.408679,0.847764,0.84897,0.678458,0.461474,0.823012,0.833638,0.649984
22,7.941e-05,0.00209517,0.392378,0.858466,0.861444,0.686578,0.480108,0.829405,0.831223,0.621851
23,7.615e-05,0.00208993,0.39106,0.860543,0.865633,0.685729,0.477464,0.829804,0.836185,0.633283
24,7.273e-05,0.00209835,0.379697,0.859585,0.862676,0.704822,0.473428,0.824211,0.859639,0.63487
25,6.917e-05,0.0021006,0.365336,0.868211,0.879863,0.708869,0.547695,0.815022,0.839675,0.625655
26,6.549e-05,0.00210691,0.349031,0.874121,0.881003,0.716665,0.465002,0.838993,0.864989,0.653742
27,6.171e-05,0.00208618,0.344212,0.871725,0.879923,0.727943,0.467131,0.834598,0.853415,0.61881
28,5.786e-05,0.00210836,0.320614,0.881629,0.88067,0.75038,0.492142,0.828206,0.854353,0.630785
29,5.397e-05,0.00210123,0.319219,0.879553,0.883804,0.733304,0.453708,0.834998,0.851055,0.651507
30,5.005e-05,0.002115,0.297864,0.891374,0.903422,0.766573,0.525324,0.817419,0.839892,0.60702
31,4.613e-05,0.00209161,0.281123,0.899681,0.903373,0.793637,0.48598,0.829005,0.852375,0.645758
32,4.224e-05,0.00209728,0.27414,0.898562,0.910543,0.786047,0.465131,0.839393,0.867144,0.666488
33,3.839e-05,0.00209317,0.263274,0.903994,0.915761,0.789771,0.509249,0.826209,0.855041,0.659413
34,3.461e-05,0.00210297,0.246828,0.908466,0.91797,0.813181,0.472351,0.84179,0.863736,0.658402
35,3.093e-05,0.00210285,0.228969,0.913419,0.927127,0.813699,0.444863,0.854974,0.883418,0.674859
36,2.737e-05,0.0021081,0.220415,0.91869,0.93168,0.834122,0.495168,0.840192,0.869296,0.66841
37,2.395e-05,0.00209878,0.208862,0.925559,0.939887,0.839171,0.517709,0.840192,0.87564,0.661038
38,2.069e-05,0.00210209,0.198964,0.927955,0.938767,0.856439,0.518343,0.845386,0.882149,0.664694
39,1.761e-05,0.00209594,0.195241,0.928115,0.938737,0.847398,0.489438,0.844986,0.882715,0.658801
40,1.473e-05,0.00210625,0.172927,0.936741,0.944018,0.872882,0.51585,0.844586,0.871585,0.663788
41,1.207e-05,0.00211811,0.161749,0.941853,0.952929,0.886224,0.511806,0.852976,0.88038,0.666258
42,9.64e-06,0.0020988,0.15524,0.942652,0.954705,0.877678,0.564703,0.838594,0.87891,0.666906
43,7.46e-06,0.00210948,0.155682,0.942173,0.953641,0.876406,0.541866,0.84139,0.877037,0.665036
44,5.54e-06,0.00210131,0.145057,0.945048,0.954627,0.893163,0.534678,0.84179,0.874982,0.65512
45,3.9e-06,0.00211136,0.138369,0.951597,0.958298,0.910641,0.498892,0.854575,0.888917,0.669474
46,2.54e-06,0.00210008,0.136833,0.951278,0.957994,0.910408,0.558391,0.838594,0.874679,0.663411
47,1.48e-06,0.00211201,0.129483,0.954153,0.962331,0.907114,0.566819,0.842589,0.87627,0.667206
48,7.1e-07,0.00212137,0.12954,0.953355,0.961776,0.900961,0.54166,0.849381,0.884027,0.673547
49,2.5e-07,0.00209629,0.132038,0.952396,0.959058,0.90799,0.568922,0.84179,0.878669,0.66453
50,1e-07,0.00210948,0.133778,0.951597,0.95621,0.909959,0.570499,0.838194,0.87444,0.653102
