image_id,img_rank,npy_file,patch_rank,patch_idx,scale,row,col,score,pred_label,true_label,correct
456,0,msips_ddr_v1_patches_00_img456.npy,0,24,0,3,3,0.381169,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,1,45,0,6,3,0.134233,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,2,31,0,4,3,0.100108,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,3,9,0,1,2,0.075642,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,4,26,0,3,5,0.075743,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,5,141,1,6,8,0.05471,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,6,33,0,4,5,0.051964,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,7,167,1,8,6,0.043431,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,8,179,1,9,4,0.043431,0,0,1
456,0,msips_ddr_v1_patches_00_img456.npy,9,154,1,7,7,0.039569,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,0,24,0,3,3,0.429703,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,1,17,0,2,3,0.140579,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,2,23,0,3,2,0.101666,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,3,3,0,0,3,0.086075,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,4,2,0,0,2,0.065099,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,5,4,0,0,4,0.042512,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,6,25,0,3,4,0.037268,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,7,97,1,3,6,0.035725,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,8,46,0,6,4,0.032202,0,0,1
102,1,msips_ddr_v1_patches_01_img102.npy,9,150,1,7,3,0.029171,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,0,2,0,0,2,0.299424,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,1,25,0,3,4,0.248859,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,2,24,0,3,3,0.061423,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,3,143,1,6,10,0.063525,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,4,141,1,6,8,0.060259,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,5,12,0,1,5,0.055336,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,6,207,1,11,4,0.05412,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,7,222,1,12,5,0.053175,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,8,23,0,3,2,0.054117,0,0,1
1126,2,msips_ddr_v1_patches_02_img1126.npy,9,101,1,3,10,0.049763,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,0,24,0,3,3,0.416382,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,1,154,1,7,7,0.14152,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,2,45,0,6,3,0.095466,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,3,38,0,5,3,0.071863,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,4,46,0,6,4,0.069164,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,5,114,1,4,9,0.052874,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,6,26,0,3,5,0.043185,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,7,10,0,1,3,0.043529,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,8,23,0,3,2,0.03415,0,0,1
1003,3,msips_ddr_v1_patches_03_img1003.npy,9,9,0,1,2,0.031868,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,0,24,0,3,3,0.40531,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,1,31,0,4,3,0.108343,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,2,45,0,6,3,0.096015,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,3,154,1,7,7,0.093614,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,4,39,0,5,4,0.053868,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,5,224,1,12,7,0.052766,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,6,17,0,2,3,0.048734,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,7,9,0,1,2,0.048745,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,8,10,0,1,3,0.047781,0,0,1
914,4,msips_ddr_v1_patches_04_img914.npy,9,136,1,6,3,0.044824,0,0,1
