### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_ddr_v1,2026-06-29 09:07,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.43395,30,0.84978,43,0.88177,50,0.673346,37,0.172329,0.529611,0.936741,0.838594,0.948442,0.88177,0.880977,0.663192,2098.7,620.7,1138.8,73.1,0.06472569,0.00129451

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00138488,1.228614,0.460863,0.12546,0.208424,0.978697,0.643228,0.441412,0.258085
2,2e-05,0.00127309,0.907906,0.641693,0.495455,0.302126,0.721778,0.741111,0.728578,0.386402
3,3e-05,0.00126831,0.765682,0.705112,0.629428,0.422572,0.704566,0.75829,0.719891,0.472769
4,4e-05,0.00126653,0.730925,0.727316,0.667125,0.449195,0.683911,0.778666,0.743155,0.475902
5,5e-05,0.00125628,0.67936,0.753674,0.711525,0.475222,0.692088,0.761087,0.782892,0.466987
6,6e-05,0.00125969,0.692431,0.746805,0.694698,0.479341,0.689946,0.743508,0.735644,0.49333
7,7e-05,0.00128584,0.67842,0.755272,0.715497,0.473588,0.632551,0.770276,0.78616,0.554891
8,8e-05,0.00128613,0.643955,0.763898,0.726856,0.518075,0.658751,0.756292,0.787599,0.488175
9,9e-05,0.001284,0.634272,0.765974,0.732505,0.50504,0.708105,0.742309,0.725124,0.527521
10,0.0001,0.00128594,0.637465,0.773482,0.739009,0.533555,0.616723,0.790651,0.785045,0.518044
11,9.985e-05,0.00128779,0.649152,0.764696,0.718737,0.484173,0.690833,0.757491,0.743578,0.506534
12,9.939e-05,0.00127124,0.602176,0.777796,0.743228,0.515156,0.570837,0.792649,0.798906,0.531486
13,9.862e-05,0.00131053,0.584089,0.793291,0.759408,0.561025,0.760212,0.719137,0.772631,0.50745
14,9.756e-05,0.00128377,0.559272,0.795208,0.773729,0.557663,0.681581,0.747103,0.764232,0.492015
15,9.62e-05,0.00128939,0.565839,0.799521,0.784811,0.549064,0.548507,0.817819,0.816583,0.543781
16,9.456e-05,0.00127746,0.530145,0.813099,0.791818,0.607961,0.519943,0.819816,0.842205,0.580319
17,9.264e-05,0.00130894,0.523789,0.812939,0.79983,0.59935,0.5841,0.793847,0.769897,0.483708
18,9.046e-05,0.0012899,0.518658,0.81885,0.806645,0.604676,0.531248,0.819417,0.808884,0.599549
19,8.803e-05,0.00130127,0.502489,0.816454,0.801377,0.606782,0.670632,0.755893,0.790928,0.528827
20,8.537e-05,0.00128914,0.48258,0.827955,0.820535,0.621093,0.542137,0.797443,0.816712,0.608152
21,8.249e-05,0.00130325,0.471437,0.830511,0.821359,0.638832,0.56829,0.790252,0.814021,0.603169
22,7.941e-05,0.00128065,0.461956,0.835463,0.83595,0.634916,0.578959,0.794646,0.828085,0.604035
