### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_luna16_fold0,2026-06-29 00:11,50,0.0001,0.1,16,10,10,512,8,10,resnet50,False,0.446302,11,0.808989,11,0.808005,11,0.881119,11,0.921053,14,0.955224,10,0.000714,1.193005,1.0,0.730337,1.0,0.7327,1.0,0.8125,1.0,0.852459,1.0,0.776119,432.1,355.7,442.9,40.5,0.03246107,0.00064922

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00065539,0.687673,0.570713,0.524733,0.686758,0.670232,0.70412,0.590597,0.707865,0.528494,0.826667,0.746988,0.925373
2,2e-05,0.00065052,0.636823,0.660826,0.577256,0.783026,0.683916,0.91573,0.565434,0.741573,0.577341,0.845638,0.768293,0.940299
3,3e-05,0.00065129,0.60867,0.668335,0.655035,0.786463,0.69024,0.913858,0.604934,0.696629,0.604478,0.80292,0.785714,0.820896
4,4e-05,0.00064892,0.573908,0.708385,0.71537,0.797215,0.744715,0.857678,0.559975,0.707865,0.679783,0.808824,0.797101,0.820896
5,5e-05,0.00065382,0.582251,0.704631,0.703392,0.79932,0.732087,0.88015,1.282131,0.325843,0.596336,0.230769,0.818182,0.134328
6,6e-05,0.00064648,0.554451,0.71214,0.741262,0.801382,0.74359,0.868914,0.536501,0.730337,0.708955,0.823529,0.811594,0.835821
7,7e-05,0.00064929,0.521962,0.760951,0.780927,0.831123,0.78727,0.88015,0.564178,0.730337,0.639756,0.84,0.759036,0.940299
8,8e-05,0.00064741,0.477097,0.769712,0.821631,0.838879,0.787829,0.897004,0.628839,0.719101,0.648575,0.814815,0.808824,0.820896
9,9e-05,0.00065114,0.567472,0.729662,0.753388,0.807143,0.771331,0.846442,0.535084,0.707865,0.714383,0.80303,0.815385,0.791045
10,0.0001,0.00065236,0.457272,0.778473,0.843114,0.838356,0.818182,0.859551,0.515006,0.797753,0.734735,0.876712,0.810127,0.955224
11,9.985e-05,0.00064802,0.428575,0.817272,0.860872,0.868468,0.836806,0.902622,0.446302,0.808989,0.808005,0.881119,0.828947,0.940299
12,9.939e-05,0.00064723,0.411128,0.826033,0.881648,0.871889,0.858439,0.885768,0.601485,0.719101,0.670285,0.822695,0.783784,0.865672
13,9.862e-05,0.00064604,0.377708,0.841051,0.899194,0.88444,0.860177,0.910112,0.646059,0.685393,0.713026,0.777778,0.830508,0.731343
14,9.756e-05,0.00064757,0.294567,0.87985,0.937481,0.911111,0.901099,0.921348,1.069012,0.606742,0.743555,0.666667,0.921053,0.522388
15,9.62e-05,0.00065125,0.233599,0.897372,0.960717,0.923792,0.916974,0.930712,0.771602,0.741573,0.744912,0.839161,0.789474,0.895522
16,9.456e-05,0.00065096,0.213922,0.906133,0.968271,0.930233,0.924214,0.93633,0.7898,0.674157,0.734057,0.756303,0.865385,0.671642
17,9.264e-05,0.00064584,0.201629,0.917397,0.97102,0.938318,0.936567,0.940075,0.869344,0.719101,0.712347,0.8,0.862069,0.746269
18,9.046e-05,0.0006466,0.172547,0.934919,0.980235,0.951311,0.951311,0.951311,0.887484,0.696629,0.658752,0.793893,0.8125,0.776119
19,8.803e-05,0.00065078,0.148955,0.947434,0.984114,0.960821,0.957249,0.964419,0.884719,0.651685,0.67232,0.755906,0.8,0.716418
20,8.537e-05,0.00064795,0.083586,0.971214,0.995138,0.978525,0.975791,0.981273,1.129565,0.662921,0.62076,0.765625,0.803279,0.731343
21,8.249e-05,0.00064757,0.128262,0.951189,0.987973,0.963517,0.962617,0.964419,1.431276,0.685393,0.65536,0.808219,0.746835,0.880597
22,7.941e-05,0.00064464,0.181708,0.927409,0.978185,0.945794,0.94403,0.947566,0.886022,0.696629,0.664858,0.793893,0.8125,0.776119
