### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
hmsips_node21_v1,2026-06-28 18:16,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,256,128,0.000292,9,1.0,9,1.0,4,1.0,9,1.0,2,1.0,4,0.002856,0.016927,0.999231,0.994898,0.999993,0.999796,0.998362,0.98861,0.997817,0.986364,0.998907,0.990868,1994.5,105.0,1573.9,20.5,0.01777525,0.0003555

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00035517,0.394447,0.79959,0.894473,0.666382,0.546536,0.853552,0.031857,0.993878,0.999622,0.986301,0.986301,0.986301
2,2e-05,0.00035217,0.03809,0.988724,0.998942,0.975956,0.975956,0.975956,0.004625,0.99898,0.999994,0.997712,1.0,0.995434
3,3e-05,0.00035579,0.010333,0.996668,0.99993,0.992908,0.991285,0.994536,0.004009,0.997959,0.999994,0.995413,1.0,0.990868
4,4e-05,0.00035498,0.018441,0.992055,0.99972,0.983069,0.982533,0.983607,0.009274,0.996939,1.0,0.993197,0.986486,1.0
5,5e-05,0.00035375,0.022281,0.991543,0.999625,0.981957,0.982495,0.981421,0.00396,0.997959,1.0,0.995413,1.0,0.990868
6,6e-05,0.00035308,0.013013,0.9959,0.999854,0.991257,0.991257,0.991257,0.006398,0.99898,0.999976,0.997712,1.0,0.995434
7,7e-05,0.00035359,0.010019,0.997437,0.999645,0.994547,0.992383,0.996721,0.001182,0.99898,1.0,0.997722,0.995455,1.0
8,8e-05,0.00035381,0.016659,0.994618,0.999716,0.988518,0.989059,0.987978,0.275386,0.920408,0.99148,0.783333,1.0,0.643836
9,9e-05,0.00035737,0.033655,0.990005,0.998117,0.978583,0.983444,0.97377,0.000292,1.0,1.0,1.0,1.0,1.0
10,0.0001,0.00035642,0.030473,0.990005,0.999094,0.97877,0.975054,0.982514,0.007064,0.99898,0.999952,0.997712,1.0,0.995434
11,9.985e-05,0.00035764,0.008835,0.996668,0.999877,0.9929,0.992358,0.993443,0.000956,1.0,1.0,1.0,1.0,1.0
12,9.939e-05,0.00035411,0.008301,0.996925,0.999953,0.993443,0.993443,0.993443,0.005273,0.997959,0.999994,0.995413,1.0,0.990868
13,9.862e-05,0.00035507,0.038519,0.987699,0.998328,0.973828,0.971708,0.975956,0.048943,0.979592,1.0,0.956332,0.916318,1.0
14,9.756e-05,0.00035518,0.030439,0.991799,0.998433,0.982571,0.97937,0.985792,0.017794,0.994898,0.999976,0.988453,1.0,0.977169
15,9.62e-05,0.00035521,0.035109,0.990261,0.998006,0.979189,0.981339,0.977049,0.006384,0.997959,0.999952,0.995413,1.0,0.990868
16,9.456e-05,0.00035779,0.023384,0.994618,0.998837,0.988556,0.98587,0.991257,0.01987,0.993878,1.0,0.986111,1.0,0.972603
17,9.264e-05,0.00035907,0.009101,0.99795,0.999633,0.995633,0.994547,0.996721,0.002124,0.99898,1.0,0.997722,0.995455,1.0
18,9.046e-05,0.00035824,0.011638,0.997181,0.999315,0.994005,0.991304,0.996721,0.001827,1.0,1.0,1.0,1.0,1.0
19,8.803e-05,0.00035783,0.025846,0.992312,0.999227,0.983589,0.984666,0.982514,0.001761,0.99898,1.0,0.997722,0.995455,1.0
20,8.537e-05,0.00035744,0.036523,0.986674,0.998645,0.971708,0.967497,0.975956,0.094397,0.972449,0.999346,0.934625,0.994845,0.881279
21,8.249e-05,0.00035624,0.061699,0.98001,0.995762,0.957424,0.956379,0.95847,0.046324,0.983673,0.999952,0.962085,1.0,0.926941
22,7.941e-05,0.0003543,0.024218,0.991543,0.998962,0.981938,0.983553,0.980328,0.011111,0.996939,1.0,0.993103,1.0,0.986301
23,7.615e-05,0.00035571,0.020923,0.99308,0.999531,0.985254,0.984716,0.985792,0.011722,0.994898,0.999952,0.988506,0.99537,0.981735
24,7.273e-05,0.00035434,0.057054,0.980523,0.99686,0.958561,0.956474,0.960656,0.047741,0.987755,0.998926,0.972222,0.985915,0.958904
25,6.917e-05,0.00035385,0.046066,0.983342,0.998036,0.964616,0.960954,0.968306,0.038925,0.986735,0.999016,0.970252,0.972477,0.968037
26,6.549e-05,0.00035728,0.029954,0.990261,0.998986,0.979303,0.976113,0.982514,0.054644,0.979592,0.998344,0.952607,0.990148,0.917808
27,6.171e-05,0.00035827,0.028852,0.988724,0.999192,0.976009,0.973885,0.978142,0.02552,0.992857,0.99886,0.984055,0.981818,0.986301
28,5.786e-05,0.00035278,0.027555,0.989749,0.9993,0.978284,0.971953,0.984699,0.031186,0.991837,0.99931,0.981818,0.977376,0.986301
29,5.397e-05,0.00035431,0.018509,0.994618,0.999645,0.988518,0.989059,0.987978,0.058043,0.983673,0.999496,0.964758,0.931915,1.0
30,5.005e-05,0.0003538,0.019363,0.992824,0.999656,0.984766,0.980498,0.989071,0.031927,0.991837,0.99841,0.981651,0.986175,0.977169
31,4.613e-05,0.00035646,0.020863,0.993337,0.999592,0.985777,0.986857,0.984699,0.035482,0.986735,0.999202,0.970917,0.951754,0.990868
32,4.224e-05,0.00035549,0.029458,0.989493,0.999153,0.977632,0.976035,0.979235,0.029649,0.986735,0.999364,0.969838,0.985849,0.954338
33,3.839e-05,0.00035472,0.018118,0.992824,0.999681,0.984716,0.983642,0.985792,0.024155,0.991837,0.999592,0.981818,0.977376,0.986301
34,3.461e-05,0.00035519,0.01826,0.993849,0.999686,0.986928,0.983713,0.990164,0.018475,0.991837,0.999712,0.981735,0.981735,0.981735
35,3.093e-05,0.00035396,0.01687,0.993849,0.999626,0.986942,0.982665,0.991257,0.030563,0.988776,0.999754,0.974359,0.995238,0.954338
36,2.737e-05,0.00035782,0.012895,0.994618,0.999775,0.988531,0.987991,0.989071,0.017429,0.993878,0.999814,0.986239,0.990783,0.981735
37,2.395e-05,0.00035247,0.011904,0.9959,0.99987,0.991257,0.991257,0.991257,0.016923,0.994898,0.999838,0.988662,0.981982,0.995434
38,2.069e-05,0.00035892,0.006253,0.998462,0.99996,0.996721,0.996721,0.996721,0.023943,0.993878,0.999772,0.986425,0.977578,0.995434
39,1.761e-05,0.00035668,0.004606,0.997693,0.999981,0.995079,0.995624,0.994536,0.015004,0.995918,0.99985,0.990909,0.986425,0.995434
40,1.473e-05,0.00035607,0.00692,0.997437,0.999957,0.994547,0.992383,0.996721,0.021521,0.993878,0.99973,0.986301,0.986301,0.986301
41,1.207e-05,0.00035467,0.006571,0.997181,0.999961,0.993986,0.99453,0.993443,0.018515,0.993878,0.999712,0.986364,0.9819,0.990868
42,9.64e-06,0.00035684,0.003788,0.998719,0.999989,0.997269,0.996725,0.997814,0.017341,0.995918,0.999658,0.990826,0.995392,0.986301
43,7.46e-06,0.00035921,0.003505,0.998975,0.999986,0.997814,0.997814,0.997814,0.014171,0.994898,0.999796,0.98861,0.986364,0.990868
44,5.54e-06,0.00035187,0.002699,0.998975,0.999996,0.997814,0.997814,0.997814,0.015886,0.994898,0.999808,0.98861,0.986364,0.990868
45,3.9e-06,0.00035242,0.002953,0.998719,0.999993,0.997269,0.996725,0.997814,0.015933,0.994898,0.999802,0.98861,0.986364,0.990868
46,2.54e-06,0.00035643,0.001398,0.999744,0.999997,0.999454,0.998908,1.0,0.015339,0.994898,0.999826,0.98861,0.986364,0.990868
47,1.48e-06,0.00035744,0.003084,0.998975,0.999993,0.997814,0.997814,0.997814,0.015349,0.994898,0.999814,0.98861,0.986364,0.990868
48,7.1e-07,0.00035446,0.001896,0.999231,0.999997,0.998362,0.997817,0.998907,0.015882,0.994898,0.999826,0.98861,0.986364,0.990868
49,2.5e-07,0.00035283,0.000622,1.0,1.0,1.0,1.0,1.0,0.016887,0.994898,0.999844,0.98861,0.986364,0.990868
50,1e-07,0.00035671,0.002856,0.999231,0.999993,0.998362,0.997817,0.998907,0.016927,0.994898,0.999796,0.98861,0.986364,0.990868
