### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_ddr_v1,2026-06-29 11:17,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,0.383771,31,0.86696,31,0.904731,31,0.677891,31,0.117,0.563314,0.957827,0.838194,0.9658,0.881532,0.918598,0.642766,2094.5,584.2,1135.3,70.0,0.06577841,0.00131557

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,1e-05,0.00134012,1.189648,0.503195,0.195933,0.228976,0.950249,0.654015,0.482133,0.266651
2,2e-05,0.00134142,0.89213,0.647284,0.493388,0.300053,0.73171,0.720735,0.64308,0.350093
3,3e-05,0.00133572,0.748707,0.716773,0.649586,0.413722,0.650267,0.773871,0.759014,0.499498
4,4e-05,0.00132811,0.691299,0.739936,0.695151,0.470685,0.653653,0.762685,0.75184,0.500215
5,5e-05,0.00132734,0.638414,0.764217,0.726911,0.492115,0.868589,0.705553,0.744005,0.434175
6,6e-05,0.00133058,0.622313,0.771885,0.742317,0.519062,0.632647,0.762685,0.74064,0.477919
7,7e-05,0.00132993,0.599589,0.78099,0.755927,0.518788,0.666857,0.748702,0.794863,0.498632
8,8e-05,0.00133138,0.584222,0.785942,0.76675,0.531722,0.554075,0.797044,0.798803,0.594766
9,9e-05,0.00134369,0.56742,0.794888,0.777213,0.567306,0.67466,0.771075,0.726664,0.523541
10,0.0001,0.00133493,0.542949,0.805911,0.791916,0.576892,0.614084,0.785457,0.747172,0.44541
11,9.985e-05,0.00131604,0.543324,0.799201,0.781785,0.568028,0.623249,0.76708,0.789117,0.529535
12,9.939e-05,0.00132763,0.521867,0.811821,0.803604,0.589883,0.531113,0.814622,0.809888,0.568473
13,9.862e-05,0.00133509,0.498355,0.819968,0.81562,0.60046,0.630368,0.769077,0.812728,0.498049
14,9.756e-05,0.00134843,0.486447,0.820128,0.810602,0.594789,0.506422,0.809029,0.840193,0.601789
15,9.62e-05,0.00156124,0.465381,0.831789,0.826807,0.63748,0.498695,0.828606,0.833474,0.609217
16,9.456e-05,0.00129934,0.46095,0.832588,0.82827,0.635815,0.651296,0.757091,0.8092,0.555659
17,9.264e-05,0.00130566,0.448181,0.834665,0.825489,0.644921,0.512569,0.821015,0.832245,0.631981
18,9.046e-05,0.00129506,0.447751,0.833387,0.82895,0.645785,0.413779,0.849381,0.871761,0.639328
19,8.803e-05,0.00130483,0.415872,0.85,0.853364,0.666472,0.514271,0.824211,0.816611,0.614623
20,8.537e-05,0.00129651,0.391947,0.855591,0.862057,0.684043,0.474031,0.839792,0.855554,0.618483
21,8.249e-05,0.00129814,0.390717,0.859265,0.863176,0.687514,0.475038,0.823012,0.861417,0.653058
22,7.941e-05,0.00130534,0.381521,0.861502,0.869151,0.686151,0.499605,0.836197,0.852872,0.639443
23,7.615e-05,0.00130752,0.368924,0.8623,0.871613,0.703234,0.452915,0.833,0.845206,0.638444
24,7.273e-05,0.00130616,0.362661,0.866933,0.875299,0.717615,0.431996,0.849381,0.87966,0.661371
25,6.917e-05,0.00131765,0.353455,0.867732,0.872359,0.710825,0.510224,0.823012,0.84902,0.647729
26,6.549e-05,0.00131019,0.330513,0.88115,0.890814,0.739363,0.457985,0.833799,0.874066,0.642312
27,6.171e-05,0.00129208,0.3233,0.882109,0.89264,0.751461,0.480937,0.830603,0.837595,0.649042
28,5.786e-05,0.00130854,0.30503,0.888019,0.898497,0.763931,0.473542,0.839393,0.855822,0.66458
29,5.397e-05,0.00130611,0.285847,0.898083,0.910095,0.783458,0.444163,0.848582,0.877105,0.670865
30,5.005e-05,0.0013164,0.284915,0.89393,0.898651,0.786291,0.436606,0.852177,0.88717,0.669726
31,4.613e-05,0.00129923,0.262647,0.902077,0.915216,0.793607,0.383771,0.86696,0.904731,0.677891
32,4.224e-05,0.0013014,0.242966,0.91262,0.925945,0.813309,0.48957,0.829804,0.874365,0.65677
33,3.839e-05,0.00129134,0.244976,0.910383,0.925862,0.807361,0.49092,0.834598,0.864792,0.655449
34,3.461e-05,0.00129992,0.231686,0.913419,0.92753,0.825297,0.425038,0.848981,0.872753,0.66641
35,3.093e-05,0.00129882,0.224416,0.918211,0.932119,0.826366,0.498088,0.843787,0.861319,0.660879
36,2.737e-05,0.00130137,0.212391,0.925559,0.937428,0.844351,0.442366,0.852177,0.888431,0.656784
37,2.395e-05,0.0012918,0.187506,0.931949,0.944549,0.860179,0.465511,0.855773,0.879891,0.676408
38,2.069e-05,0.00128591,0.17904,0.936741,0.949277,0.866883,0.501915,0.837795,0.889648,0.665568
39,1.761e-05,0.00129716,0.161411,0.939617,0.950157,0.879716,0.525981,0.840991,0.880885,0.63643
40,1.473e-05,0.00130083,0.169656,0.941054,0.951073,0.877782,0.511606,0.842988,0.883649,0.658024
41,1.207e-05,0.00129555,0.155525,0.940575,0.951155,0.880197,0.525508,0.837395,0.887917,0.644978
42,9.64e-06,0.00130074,0.143659,0.946805,0.95692,0.900244,0.544622,0.842189,0.872964,0.64898
43,7.46e-06,0.00130435,0.137608,0.951438,0.962692,0.900105,0.561173,0.836197,0.877511,0.649317
44,5.54e-06,0.00130156,0.139873,0.951917,0.959606,0.91425,0.500431,0.844986,0.885153,0.648229
45,3.9e-06,0.00130251,0.131398,0.954952,0.963868,0.911836,0.539148,0.840192,0.887009,0.647353
46,2.54e-06,0.00129079,0.125361,0.953514,0.964081,0.911838,0.559844,0.839393,0.88723,0.642629
47,1.48e-06,0.00130082,0.122028,0.954792,0.962369,0.911615,0.521784,0.844187,0.888687,0.651644
48,7.1e-07,0.00130039,0.120278,0.958946,0.966351,0.926332,0.517713,0.843787,0.888189,0.648155
49,2.5e-07,0.00131185,0.120856,0.958307,0.967136,0.919648,0.536563,0.840591,0.889247,0.650332
50,1e-07,0.00130089,0.117,0.957827,0.9658,0.918598,0.563314,0.838194,0.881532,0.642766
