### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_luna16_fold0,2026-06-29 02:15,50,0.0001,0.1,16,10,10,512,8,10,resnet50,False,0.48476,8,0.775281,8,0.710991,8,0.861111,8,0.825397,4,1.0,1,0.000478,1.892283,1.0,0.640449,1.0,0.534261,1.0,0.764706,1.0,0.753623,1.0,0.776119,431.9,487.4,442.8,55.2,0.04505631,0.00090113

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.0009012,0.688795,0.590738,0.479726,0.710875,0.673367,0.752809,0.575139,0.752809,0.444369,0.858974,0.752809,1.0
2,2e-05,0.0008913,0.648023,0.659574,0.522013,0.789474,0.672823,0.955056,0.579702,0.730337,0.556988,0.84,0.759036,0.940299
3,3e-05,0.00089699,0.602098,0.665832,0.662102,0.784851,0.688826,0.911985,0.519702,0.752809,0.653324,0.847222,0.792208,0.910448
4,4e-05,0.00089447,0.603444,0.689612,0.660024,0.791246,0.718654,0.88015,0.592049,0.707865,0.649254,0.8,0.825397,0.776119
5,5e-05,0.00089507,0.57391,0.702128,0.707208,0.795181,0.735669,0.865169,0.582081,0.730337,0.589552,0.844156,0.747126,0.970149
6,6e-05,0.00089429,0.611047,0.694618,0.663013,0.795645,0.719697,0.889513,0.600577,0.685393,0.587517,0.794118,0.782609,0.80597
7,7e-05,0.00089993,0.58184,0.714643,0.698375,0.806122,0.738318,0.88764,0.763258,0.550562,0.639756,0.642857,0.8,0.537313
8,8e-05,0.0008984,0.537858,0.722153,0.752088,0.80895,0.748408,0.88015,0.48476,0.775281,0.710991,0.861111,0.805195,0.925373
9,9e-05,0.00089741,0.503939,0.755945,0.795011,0.829694,0.777414,0.889513,0.54951,0.730337,0.61194,0.835616,0.772152,0.910448
10,0.0001,0.00089806,0.501095,0.757196,0.798527,0.828014,0.786195,0.874532,0.880036,0.52809,0.565807,0.611111,0.804878,0.492537
11,9.985e-05,0.00091609,0.518925,0.743429,0.785499,0.818744,0.775544,0.867041,0.725663,0.595506,0.498643,0.727273,0.738462,0.716418
12,9.939e-05,0.00089806,0.451592,0.770964,0.843474,0.838196,0.79397,0.88764,0.656536,0.685393,0.575984,0.791045,0.791045,0.791045
13,9.862e-05,0.00090435,0.405155,0.828536,0.876616,0.876465,0.845217,0.910112,1.100741,0.41573,0.506784,0.469388,0.741935,0.343284
14,9.756e-05,0.00090172,0.329414,0.862328,0.926154,0.899083,0.881295,0.917603,0.744433,0.651685,0.533921,0.77037,0.764706,0.776119
15,9.62e-05,0.00090063,0.27087,0.898623,0.950208,0.925483,0.909584,0.941948,1.740797,0.438202,0.468792,0.489796,0.774194,0.358209
16,9.456e-05,0.00089625,0.214453,0.906133,0.969147,0.930103,0.925788,0.934457,1.024443,0.629213,0.523745,0.740157,0.783333,0.701493
17,9.264e-05,0.00090178,0.172437,0.941176,0.977669,0.956198,0.951763,0.960674,1.019906,0.662921,0.612619,0.782609,0.760563,0.80597
18,9.046e-05,0.00089651,0.193248,0.9199,0.974341,0.940187,0.938433,0.941948,1.338817,0.707865,0.574627,0.826667,0.746988,0.925373
19,8.803e-05,0.00090894,0.103661,0.954944,0.993534,0.96648,0.961111,0.97191,1.118857,0.640449,0.559023,0.757576,0.769231,0.746269
20,8.537e-05,0.00090873,0.067694,0.973717,0.996884,0.980501,0.972376,0.988764,1.375114,0.651685,0.501018,0.77037,0.764706,0.776119
21,8.249e-05,0.00089971,0.042406,0.98373,0.998806,0.987839,0.986916,0.988764,1.56864,0.674157,0.489145,0.794326,0.756757,0.835821
22,7.941e-05,0.00089997,0.017467,0.997497,0.999922,0.998127,0.998127,0.998127,1.449001,0.741573,0.493216,0.841379,0.782051,0.910448
23,7.615e-05,0.0009006,0.012309,0.997497,0.999852,0.998127,0.998127,0.998127,1.605861,0.651685,0.533243,0.77037,0.764706,0.776119
24,7.273e-05,0.00089949,0.004471,1.0,1.0,1.0,1.0,1.0,1.61764,0.629213,0.521031,0.755556,0.75,0.761194
25,6.917e-05,0.00089878,0.001523,1.0,1.0,1.0,1.0,1.0,1.666697,0.640449,0.534261,0.764706,0.753623,0.776119
26,6.549e-05,0.00090181,0.001656,1.0,1.0,1.0,1.0,1.0,1.628526,0.651685,0.544776,0.773723,0.757143,0.791045
27,6.171e-05,0.00089816,0.001783,1.0,1.0,1.0,1.0,1.0,1.775343,0.662921,0.518996,0.782609,0.760563,0.80597
28,5.786e-05,0.00089619,0.001455,1.0,1.0,1.0,1.0,1.0,1.847615,0.629213,0.516961,0.755556,0.75,0.761194
29,5.397e-05,0.00090187,0.00101,1.0,1.0,1.0,1.0,1.0,1.880445,0.629213,0.523066,0.755556,0.75,0.761194
30,5.005e-05,0.00090267,0.000764,1.0,1.0,1.0,1.0,1.0,1.816609,0.640449,0.528494,0.764706,0.753623,0.776119
31,4.613e-05,0.00090215,0.000546,1.0,1.0,1.0,1.0,1.0,1.893477,0.629213,0.5346,0.755556,0.75,0.761194
32,4.224e-05,0.00090184,0.000557,1.0,1.0,1.0,1.0,1.0,1.855655,0.629213,0.540027,0.755556,0.75,0.761194
33,3.839e-05,0.000903,0.000741,1.0,1.0,1.0,1.0,1.0,1.927812,0.629213,0.517639,0.755556,0.75,0.761194
34,3.461e-05,0.00090483,0.000769,1.0,1.0,1.0,1.0,1.0,1.91738,0.617978,0.52171,0.746269,0.746269,0.746269
35,3.093e-05,0.00090106,0.000806,1.0,1.0,1.0,1.0,1.0,1.838096,0.651685,0.520353,0.773723,0.757143,0.791045
36,2.737e-05,0.00090872,0.00042,1.0,1.0,1.0,1.0,1.0,1.852352,0.629213,0.528155,0.755556,0.75,0.761194
37,2.395e-05,0.00089938,0.000416,1.0,1.0,1.0,1.0,1.0,1.847009,0.629213,0.529172,0.755556,0.75,0.761194
38,2.069e-05,0.00089864,0.000588,1.0,1.0,1.0,1.0,1.0,1.943177,0.629213,0.518996,0.755556,0.75,0.761194
39,1.761e-05,0.00089914,0.000455,1.0,1.0,1.0,1.0,1.0,1.88643,0.629213,0.535278,0.755556,0.75,0.761194
40,1.473e-05,0.00089786,0.000298,1.0,1.0,1.0,1.0,1.0,1.925158,0.629213,0.531208,0.755556,0.75,0.761194
41,1.207e-05,0.00091625,0.0004,1.0,1.0,1.0,1.0,1.0,1.93463,0.617978,0.519674,0.746269,0.746269,0.746269
42,9.64e-06,0.0008973,0.000281,1.0,1.0,1.0,1.0,1.0,1.914497,0.629213,0.527137,0.755556,0.75,0.761194
43,7.46e-06,0.00090045,0.000347,1.0,1.0,1.0,1.0,1.0,1.911257,0.629213,0.532564,0.755556,0.75,0.761194
44,5.54e-06,0.00090096,0.000282,1.0,1.0,1.0,1.0,1.0,1.902797,0.629213,0.533243,0.755556,0.75,0.761194
45,3.9e-06,0.00090141,0.000341,1.0,1.0,1.0,1.0,1.0,1.859796,0.640449,0.533243,0.764706,0.753623,0.776119
46,2.54e-06,0.00090137,0.000346,1.0,1.0,1.0,1.0,1.0,1.871313,0.640449,0.541384,0.764706,0.753623,0.776119
47,1.48e-06,0.00091632,0.000323,1.0,1.0,1.0,1.0,1.0,1.909626,0.640449,0.5346,0.764706,0.753623,0.776119
48,7.1e-07,0.00090477,0.000222,1.0,1.0,1.0,1.0,1.0,1.907569,0.629213,0.528155,0.755556,0.75,0.761194
49,2.5e-07,0.00089695,0.000286,1.0,1.0,1.0,1.0,1.0,1.925424,0.640449,0.539688,0.764706,0.753623,0.776119
50,1e-07,0.00090448,0.000478,1.0,1.0,1.0,1.0,1.0,1.892283,0.640449,0.534261,0.764706,0.753623,0.776119
