### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
ips_node21_v1,2026-06-28 18:40,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,2e-05,39,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,6.2e-05,0.000991,1.0,0.99898,1.0,1.0,1.0,0.997712,1.0,1.0,1.0,0.995434,1965.4,140.2,898.2,34.6,0.01952849,0.00039057

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00043655,0.29909,0.875192,0.940711,0.723138,0.753555,0.695082,0.035941,0.993878,0.999856,0.986425,0.977578,0.995434
2,2e-05,0.0003895,0.028733,0.990774,0.999514,0.980456,0.97411,0.986885,0.004588,1.0,1.0,1.0,1.0,1.0
3,3e-05,0.00039005,0.012028,0.996668,0.999898,0.992892,0.993435,0.99235,0.001349,1.0,1.0,1.0,1.0,1.0
4,4e-05,0.00038912,0.005566,0.998975,0.999975,0.997819,0.995647,1.0,0.001863,0.99898,1.0,0.997722,0.995455,1.0
5,5e-05,0.00039393,0.035431,0.988467,0.998746,0.975396,0.97593,0.974863,0.007654,0.995918,1.0,0.990783,1.0,0.981735
6,6e-05,0.00039234,0.016536,0.993849,0.999754,0.986885,0.986885,0.986885,0.155702,0.956122,0.997504,0.891139,1.0,0.803653
7,7e-05,0.00038748,0.010159,0.996412,0.999891,0.992358,0.991276,0.993443,0.002153,0.99898,1.0,0.997722,0.995455,1.0
8,8e-05,0.00038704,0.020031,0.994874,0.999104,0.989107,0.985885,0.99235,0.081719,0.979592,0.999808,0.956332,0.916318,1.0
9,9e-05,0.00039165,0.037728,0.986674,0.998515,0.971739,0.966486,0.977049,0.00527,0.997959,1.0,0.995455,0.99095,1.0
10,0.0001,0.00038777,0.014376,0.9959,0.999569,0.991257,0.991257,0.991257,0.010357,0.995918,1.0,0.99095,0.982063,1.0
11,9.985e-05,0.00038873,0.018016,0.994106,0.999411,0.987466,0.984783,0.990164,0.001488,0.99898,1.0,0.997722,0.995455,1.0
12,9.939e-05,0.00039419,0.034697,0.988724,0.998585,0.976035,0.972856,0.979235,0.016095,0.994898,0.999982,0.988453,1.0,0.977169
13,9.862e-05,0.00039203,0.027706,0.99103,0.998931,0.980947,0.977223,0.984699,0.007061,0.997959,0.999994,0.995413,1.0,0.990868
14,9.756e-05,0.00038912,0.014104,0.995131,0.999658,0.989646,0.986957,0.99235,0.004403,0.99898,0.999994,0.997722,0.995455,1.0
15,9.62e-05,0.00038707,0.015597,0.995387,0.999484,0.990207,0.985915,0.994536,0.006143,0.996939,0.999988,0.993197,0.986486,1.0
16,9.456e-05,0.00039093,0.007024,0.997693,0.99996,0.995085,0.994541,0.995628,0.001812,0.997959,0.999994,0.995434,0.995434,0.995434
17,9.264e-05,0.00038961,0.007981,0.998462,0.999688,0.996725,0.995638,0.997814,0.001292,0.99898,1.0,0.997722,0.995455,1.0
18,9.046e-05,0.00038593,0.012404,0.996156,0.999708,0.991826,0.98913,0.994536,0.00242,0.99898,1.0,0.997722,0.995455,1.0
19,8.803e-05,0.00038442,0.003304,0.999231,0.999992,0.99836,0.998906,0.997814,0.003323,0.997959,0.999994,0.995434,0.995434,0.995434
20,8.537e-05,0.00039184,0.007442,0.997437,0.999961,0.994541,0.993457,0.995628,0.021127,0.993878,0.999982,0.986486,0.973333,1.0
21,8.249e-05,0.00038861,0.01095,0.9959,0.999923,0.991266,0.990185,0.99235,0.001421,0.99898,1.0,0.997722,0.995455,1.0
22,7.941e-05,0.00038779,0.007913,0.997437,0.999917,0.994536,0.994536,0.994536,0.000782,1.0,1.0,1.0,1.0,1.0
23,7.615e-05,0.00038785,0.000659,1.0,1.0,1.0,1.0,1.0,5.3e-05,1.0,1.0,1.0,1.0,1.0
24,7.273e-05,0.00038855,0.003304,0.999487,0.999985,0.998908,0.997819,1.0,0.000134,1.0,1.0,1.0,1.0,1.0
25,6.917e-05,0.00038718,0.008186,0.997437,0.999958,0.99453,0.995619,0.993443,0.002775,0.99898,0.999994,0.997712,1.0,0.995434
26,6.549e-05,0.00038603,0.014028,0.996156,0.999782,0.991817,0.990196,0.993443,0.052037,0.980612,0.999664,0.958425,0.920168,1.0
27,6.171e-05,0.00038588,0.01123,0.996156,0.999853,0.991808,0.991266,0.99235,0.000715,1.0,1.0,1.0,1.0,1.0
28,5.786e-05,0.00038742,0.012846,0.996925,0.998871,0.993443,0.993443,0.993443,0.000355,1.0,1.0,1.0,1.0,1.0
29,5.397e-05,0.00039162,0.001672,0.999487,0.999999,0.998907,0.998907,0.998907,0.005392,0.996939,1.0,0.993103,1.0,0.986301
