image_id,img_rank,npy_file,patch_rank,patch_idx,row,col,score,pred_label,true_label,correct
5238,0,ips_rsna_v1_patches_00_img5238.npy,0,29,3,5,4.72494,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,1,38,4,6,2.26515,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,2,34,4,2,0.910806,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,3,37,4,5,0.807789,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,4,21,2,5,0.669619,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,5,46,5,6,0.208577,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,6,30,3,6,0.147453,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,7,27,3,3,0.125998,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,8,61,7,5,0.09317,0,0,1
5238,0,ips_rsna_v1_patches_00_img5238.npy,9,26,3,2,0.046497,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,0,34,4,2,3.543818,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,1,45,5,5,3.493624,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,2,42,5,2,2.041927,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,3,26,3,2,0.429383,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,4,52,6,4,0.097408,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,5,37,4,5,0.172517,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,6,44,5,4,0.085544,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,7,27,3,3,0.036532,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,8,53,6,5,0.059048,0,0,1
912,1,ips_rsna_v1_patches_01_img912.npy,9,20,2,4,0.040197,0,0,1
204,2,ips_rsna_v1_patches_02_img204.npy,0,50,6,2,1.916243,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,1,37,4,5,1.654916,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,2,42,5,2,1.98823,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,3,29,3,5,0.940998,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,4,38,4,6,0.841499,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,5,34,4,2,1.198036,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,6,26,3,2,0.353214,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,7,41,5,1,0.379164,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,8,46,5,6,0.359953,0,1,0
204,2,ips_rsna_v1_patches_02_img204.npy,9,49,6,1,0.367747,0,1,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,0,34,4,2,2.770756,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,1,37,4,5,2.124978,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,2,45,5,5,1.695955,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,3,20,2,4,0.671039,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,4,42,5,2,0.720116,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,5,41,5,1,0.660419,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,6,26,3,2,0.593191,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,7,17,2,1,0.4349,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,8,29,3,5,0.258686,1,0,0
6074,3,ips_rsna_v1_patches_03_img6074.npy,9,33,4,1,0.069959,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,0,21,2,5,2.699524,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,1,26,3,2,2.17785,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,2,18,2,2,2.416643,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,3,19,2,3,1.286089,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,4,34,4,2,0.786826,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,5,56,7,0,0.356099,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,6,48,6,0,0.110547,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,7,11,1,3,0.059316,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,8,29,3,5,0.04691,1,0,0
2253,4,ips_rsna_v1_patches_04_img2253.npy,9,55,6,7,0.060195,1,0,0
