### RESUME
run_name,mode,date,n_epochs,lr,wd,batch_size,n_epoch_warmup,enc_type,pretrained,tau,lambda_m,lambda_c,mis_h_ratio,mis_l_ratio,best_val_loss,best_ep_loss,best_val_kappa,best_ep_kappa,best_val_accuracy,best_ep_accuracy,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_kappa,final_val_kappa,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
qmix_ddr_v1,qmix,2026-06-29 21:16,50,0.001,0.0001,16,10,resnet50,True,0.07,1.0,1.0,0.5,0.15,1.12638,2,0.651593,2,0.731922,2,0.321486,2,3.383787,2.170857,-0.027721,0.001938,0.271704,0.443068,0.136315,0.185301,8348.9,560.1,2105.1,76.6,0.14422197,0.00288444

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,val_loss,train_kappa,val_kappa,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0001,0.00154263,1.55588,1.134013,0.089665,0.521939,0.328379,0.687175,0.174507,0.304895
2,0.0002,0.00154583,1.541876,1.12638,0.115951,0.651593,0.338797,0.731922,0.181765,0.321486
3,0.0003,0.00153924,1.5458,1.251236,0.107824,0.307899,0.335185,0.609269,0.180688,0.233874
4,0.0004,0.00154215,1.54305,1.29007,0.106673,0.377347,0.330463,0.647623,0.168085,0.264662
5,0.0005,0.00155404,1.547732,1.18181,0.082303,0.335817,0.325879,0.61686,0.166475,0.239539
6,0.0006,0.00153044,1.54211,1.22837,0.088306,0.560301,0.330324,0.684379,0.167982,0.283712
7,0.0007,0.00151488,1.542754,1.21393,0.089383,0.513286,0.331296,0.671994,0.167901,0.279921
8,0.0008,0.00145119,1.544296,1.238757,0.094504,0.482634,0.323934,0.656412,0.165731,0.268678
9,0.0009,0.00144503,1.556118,1.292226,0.049682,0.325073,0.312682,0.586496,0.160746,0.247381
10,0.001,0.00144551,1.55925,1.325439,0.041547,0.47215,0.312266,0.67479,0.156326,0.28637
11,0.001,0.00324514,4.628191,1.504405,0.003875,-0.036119,0.244895,0.354774,0.108093,0.114512
12,0.00099846,0.0032462,4.667869,1.540508,0.000372,0.004445,0.262953,0.360368,0.116359,0.108594
13,0.00099385,0.00323775,5.133798,1.813634,0.001703,-0.014873,0.264759,0.075509,0.155872,0.057292
14,0.0009862,0.00324478,4.606114,1.350887,0.023649,0.019898,0.29129,0.513783,0.163085,0.148909
15,0.00097555,0.0032387,4.327782,1.698806,-0.011045,0.00314,0.254619,0.132241,0.17172,0.09771
16,0.00096198,0.00323997,4.28401,1.407082,0.007972,0.056468,0.293791,0.532161,0.148675,0.178406
17,0.00094556,0.00323455,4.361888,1.762965,-0.003334,0.065327,0.280595,0.53296,0.143787,0.18188
18,0.00092639,0.00323445,4.159739,1.43572,0.000664,0.081986,0.289207,0.534958,0.147457,0.189646
19,0.0009046,0.00323632,4.146256,1.633094,0.003076,0.114771,0.291013,0.534958,0.150626,0.203072
20,0.00088032,0.00324358,4.057319,1.999676,-0.005121,0.112776,0.283373,0.538154,0.144763,0.196068
21,0.0008537,0.00324186,4.124657,1.524844,-0.013941,0.135925,0.281289,0.532161,0.145443,0.211234
22,0.0008249,0.00323453,4.179185,1.648646,-0.007538,0.143478,0.27351,0.534159,0.15179,0.201934
23,0.0007941,0.00323639,4.18062,1.689233,0.006475,0.140452,0.280317,0.538154,0.162786,0.19873
24,0.00076149,0.00322787,3.971393,1.553525,-0.003778,0.164671,0.278511,0.54974,0.14797,0.213605
25,0.00072727,0.00322341,4.039234,1.529536,-0.018408,0.170943,0.273093,0.553736,0.140305,0.219345
26,0.00069165,0.00322194,4.203484,1.49716,-0.014327,0.148873,0.278372,0.542948,0.144968,0.201782
27,0.00065485,0.00322443,3.745792,1.558644,-0.008448,0.09886,0.280872,0.534159,0.150615,0.190356
28,0.00061711,0.0032252,3.975495,1.52651,-0.007206,0.105743,0.279067,0.515382,0.14311,0.20775
29,0.00057864,0.00321679,3.86381,1.729424,-0.017785,0.143442,0.277261,0.535358,0.143807,0.203537
