### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
msips_node21_v1,2026-06-28 19:32,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,128,64,0.000409,37,1.0,3,1.0,2,1.0,3,1.0,2,1.0,3,0.10348,0.082413,0.960021,0.968367,0.990846,0.99376,0.915309,0.929062,0.909385,0.931193,0.921311,0.926941,1980.4,170.6,1660.9,39.5,0.04419232,0.00088385

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00089122,0.287551,0.877499,0.933477,0.706027,0.807314,0.627322,0.024556,0.995918,0.99994,0.990909,0.986425,0.995434
2,2e-05,0.00088879,0.032371,0.989493,0.999058,0.977608,0.977074,0.978142,0.007489,0.996939,1.0,0.993103,1.0,0.986301
3,3e-05,0.00088098,0.031524,0.990005,0.999051,0.9787,0.978166,0.979235,0.000811,1.0,1.0,1.0,1.0,1.0
4,4e-05,0.00088172,0.025139,0.991799,0.999417,0.982552,0.980413,0.984699,0.033245,0.989796,0.999412,0.977578,0.960352,0.995434
5,5e-05,0.00088716,0.037541,0.98693,0.998441,0.972116,0.972648,0.971585,0.002109,1.0,1.0,1.0,1.0,1.0
6,6e-05,0.00089067,0.011823,0.996925,0.999734,0.99345,0.992366,0.994536,0.000506,1.0,1.0,1.0,1.0,1.0
7,7e-05,0.00088042,0.020159,0.99308,0.999671,0.985254,0.984716,0.985792,0.000553,1.0,1.0,1.0,1.0,1.0
8,8e-05,0.00088541,0.023186,0.992312,0.999218,0.983713,0.977346,0.990164,0.007198,0.996939,1.0,0.993103,1.0,0.986301
9,9e-05,0.00088499,0.05172,0.984367,0.996906,0.966685,0.966157,0.967213,0.002906,0.99898,1.0,0.997722,0.995455,1.0
10,0.0001,0.00088,0.023208,0.992568,0.999222,0.984231,0.979437,0.989071,0.001095,1.0,1.0,1.0,1.0,1.0
11,9.985e-05,0.00088428,0.070931,0.976679,0.994828,0.950517,0.945887,0.955191,0.077576,0.980612,0.996574,0.954654,1.0,0.913242
12,9.939e-05,0.00088882,0.057331,0.981548,0.995961,0.960526,0.963696,0.957377,0.008234,0.996939,0.999982,0.993135,0.995413,0.990868
13,9.862e-05,0.00088793,0.031477,0.990261,0.998958,0.979167,0.982398,0.975956,0.026721,0.991837,0.999772,0.981395,1.0,0.96347
14,9.756e-05,0.00088624,0.035717,0.987699,0.998551,0.973885,0.969664,0.978142,0.024468,0.993878,0.999976,0.986486,0.973333,1.0
15,9.62e-05,0.00088025,0.054407,0.982573,0.996906,0.963043,0.957838,0.968306,0.698779,0.872449,0.990076,0.600639,1.0,0.429224
16,9.456e-05,0.00088918,0.071181,0.976935,0.993448,0.950873,0.949836,0.951913,0.020262,0.994898,0.99985,0.988506,0.99537,0.981735
