### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,coarse_size,fine_size,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_auc,best_ep_auc,best_val_f1,best_ep_f1,best_val_precision,best_ep_precision,best_val_recall,best_ep_recall,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_auc,final_val_auc,final_train_f1,final_val_f1,final_train_precision,final_val_precision,final_train_recall,final_val_recall,train_vram_mb,train_time_s,val_vram_mb,val_time_s,total_co2_kg,co2_per_epoch_kg
msips_rsna_v1,2026-06-29 20:37,50,0.0001,0.1,16,10,10,512,8,10,resnet18,True,128,64,0.39741,12,0.824525,44,0.866451,9,0.751538,12,0.749649,44,0.787982,13,0.030255,0.877432,0.990952,0.823776,0.998719,0.838273,0.990952,0.73232,0.990965,0.748972,0.990945,0.72011,1980.4,859.0,1661.3,265.7,0.2393789,0.00478758

### COURBES PAR EPOQUE
epoch,lr,co2_kg,train_loss,train_accuracy,train_auc,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_f1,val_precision,val_recall
1,1e-05,0.00478841,0.625051,0.658085,0.710044,0.657712,0.658887,0.658152,0.564337,0.711334,0.803337,0.667335,0.667832,0.73302
2,2e-05,0.0047921,0.505207,0.757761,0.833436,0.757756,0.757761,0.75778,0.5127,0.739632,0.850745,0.696892,0.692109,0.764262
3,3e-05,0.00479621,0.482382,0.774106,0.849793,0.77405,0.774313,0.774076,0.569849,0.716125,0.854447,0.680112,0.685542,0.762079
4,4e-05,0.00479242,0.469158,0.780105,0.857949,0.779852,0.780573,0.779792,0.410585,0.79982,0.858675,0.741804,0.726205,0.772878
5,5e-05,0.00479928,0.452345,0.789653,0.867984,0.789306,0.790622,0.789279,0.465786,0.785297,0.864593,0.734088,0.718667,0.779796
6,6e-05,0.00480356,0.448052,0.791702,0.870892,0.791522,0.792622,0.791661,0.579368,0.707741,0.863383,0.675645,0.687136,0.766584
7,7e-05,0.00480743,0.446237,0.796151,0.872087,0.795958,0.797231,0.796131,0.50622,0.739632,0.858239,0.70088,0.698642,0.776537
8,8e-05,0.00480177,0.449707,0.790852,0.869612,0.790473,0.792182,0.790527,0.589351,0.689474,0.86487,0.662101,0.684232,0.764006
9,9e-05,0.0047991,0.444436,0.794201,0.873023,0.794041,0.795242,0.794259,0.406086,0.791286,0.866451,0.737603,0.721641,0.777759
10,0.0001,0.00478848,0.437368,0.797551,0.877527,0.797307,0.798796,0.797467,0.441952,0.773918,0.855297,0.724489,0.710819,0.775524
11,9.985e-05,0.00477974,0.434313,0.8,0.878122,0.799517,0.802043,0.799639,0.565257,0.71882,0.862704,0.684704,0.691368,0.771136
12,9.939e-05,0.00477797,0.433677,0.79995,0.880028,0.799721,0.801027,0.799821,0.39741,0.814493,0.86494,0.751538,0.738696,0.770777
13,9.862e-05,0.00478058,0.421322,0.806148,0.886502,0.806006,0.807266,0.806248,0.471033,0.776763,0.86628,0.730872,0.717446,0.787982
14,9.756e-05,0.004792,0.41711,0.808948,0.889522,0.808801,0.809981,0.808984,0.483888,0.782602,0.854939,0.729512,0.714402,0.772628
15,9.62e-05,0.00478064,0.405011,0.816296,0.895666,0.815967,0.817767,0.81598,0.483427,0.748166,0.859,0.707172,0.701549,0.777558
16,9.456e-05,0.00477966,0.394371,0.826043,0.900851,0.825439,0.827919,0.825132,0.431158,0.783351,0.855065,0.726834,0.711844,0.764377
17,9.264e-05,0.00478252,0.385917,0.829143,0.904831,0.828832,0.831071,0.828949,0.417072,0.804462,0.860762,0.743652,0.729038,0.769263
18,9.046e-05,0.00479574,0.373855,0.835691,0.910622,0.835402,0.837695,0.835542,0.528735,0.741279,0.863603,0.702217,0.699383,0.777128
19,8.803e-05,0.00478307,0.355651,0.843189,0.91902,0.843031,0.844896,0.843328,0.476557,0.767031,0.864105,0.719515,0.707382,0.775093
20,8.537e-05,0.00479224,0.340625,0.853337,0.925899,0.853233,0.854491,0.853404,0.457228,0.795478,0.857883,0.733296,0.719014,0.759689
21,8.249e-05,0.00500324,0.320619,0.863684,0.934181,0.863596,0.864949,0.863828,0.429933,0.804611,0.85836,0.737452,0.725799,0.754723
22,7.941e-05,0.00479259,0.307913,0.871432,0.939288,0.87127,0.872836,0.871257,0.520484,0.76778,0.846348,0.715011,0.701835,0.761412
23,7.615e-05,0.00480197,0.288331,0.87888,0.946501,0.878766,0.88015,0.878818,0.558256,0.752208,0.85307,0.707468,0.699092,0.770015
24,7.273e-05,0.0047966,0.269925,0.889778,0.953775,0.889718,0.890769,0.88984,0.498776,0.807007,0.855558,0.738639,0.727948,0.753672
25,6.917e-05,0.00479275,0.250696,0.900375,0.959024,0.90029,0.901316,0.900231,0.508204,0.769876,0.843419,0.71239,0.698781,0.751197
26,6.549e-05,0.00479689,0.236642,0.904674,0.963294,0.904662,0.905532,0.905049,0.561657,0.788741,0.84044,0.721491,0.708852,0.743303
27,6.171e-05,0.0048051,0.214473,0.914821,0.970122,0.914784,0.915419,0.914775,0.543805,0.796826,0.850453,0.733692,0.71976,0.758434
28,5.786e-05,0.00479978,0.200689,0.923269,0.973339,0.923256,0.923826,0.923392,0.580443,0.792184,0.852061,0.731414,0.716733,0.760633
29,5.397e-05,0.00481146,0.187969,0.929268,0.975728,0.929254,0.929816,0.92936,0.529641,0.795029,0.853703,0.730822,0.71724,0.754678
30,5.005e-05,0.00479336,0.173886,0.932717,0.979699,0.932715,0.933008,0.932858,0.570872,0.817637,0.844422,0.738945,0.738609,0.739284
31,4.613e-05,0.0047886,0.158618,0.941915,0.982438,0.941905,0.942223,0.941926,0.573241,0.81629,0.846358,0.731055,0.736312,0.726375
32,4.224e-05,0.00479055,0.140765,0.946813,0.986336,0.946813,0.946898,0.946937,0.622012,0.80012,0.845017,0.727839,0.718407,0.74073
33,3.839e-05,0.00478877,0.123975,0.955361,0.988876,0.955356,0.955573,0.95536,0.654813,0.813445,0.840909,0.736873,0.733266,0.740829
34,3.461e-05,0.00479375,0.110955,0.96026,0.991026,0.960251,0.960455,0.960205,0.631504,0.81599,0.848799,0.73665,0.736262,0.737041
35,3.093e-05,0.00479167,0.102997,0.964159,0.991907,0.964157,0.96425,0.964163,0.683637,0.818087,0.851052,0.73854,0.739167,0.737922
36,2.737e-05,0.00478935,0.095165,0.966208,0.993103,0.966208,0.966271,0.966263,0.686669,0.81075,0.847924,0.736642,0.730406,0.744047
37,2.395e-05,0.00479286,0.086158,0.970457,0.994385,0.970455,0.970552,0.970447,0.668044,0.815392,0.851893,0.740032,0.736044,0.744445
38,2.069e-05,0.00479102,0.071841,0.975356,0.995874,0.975356,0.975397,0.975412,0.710789,0.814493,0.843032,0.729755,0.733687,0.72616
39,1.761e-05,0.00479359,0.066463,0.977406,0.996305,0.977397,0.977326,0.977521,0.736127,0.816589,0.84286,0.735507,0.736938,0.734123
40,1.473e-05,0.00476799,0.058801,0.980105,0.997123,0.980105,0.980122,0.980122,0.760312,0.824075,0.831356,0.733341,0.749328,0.721484
41,1.207e-05,0.00474539,0.052397,0.982454,0.997774,0.982453,0.982501,0.982436,0.786402,0.819284,0.848255,0.736477,0.740784,0.732557
42,9.64e-06,0.0047446,0.04569,0.984554,0.99802,0.984549,0.984636,0.984497,0.843956,0.81644,0.846097,0.73636,0.736811,0.735915
43,7.46e-06,0.00475203,0.043451,0.985754,0.998088,0.985754,0.985771,0.985763,0.815987,0.823327,0.829176,0.736023,0.747426,0.726902
44,5.54e-06,0.00475409,0.041617,0.986503,0.998322,0.986502,0.98655,0.986475,0.814758,0.824525,0.838231,0.735904,0.749649,0.725314
45,3.9e-06,0.0047502,0.038666,0.987953,0.9985,0.987953,0.987958,0.987974,0.845453,0.820183,0.837128,0.73584,0.742169,0.730303
