### RESUME
run_name,date,n_epochs,lr,wd,B,M,I,D,H,n_epoch_warmup,enc_type,pretrained,best_val_loss,best_ep_loss,best_val_accuracy,best_ep_accuracy,best_val_kappa,best_ep_kappa,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_accuracy,final_val_accuracy,final_train_kappa,final_val_kappa,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ips_ddr_v1,2026-05-24 05:50,250,0.0001,0.1,16,10,10,512,8,5,resnet18,True,0.442059,55,0.856972,153,0.884213,105,0.673111,64,0.00319,1.040641,0.999361,0.840591,0.999341,0.873584,0.999408,0.627605,6526.6,616.1,1141.5,74.0

### COURBES PAR EPOQUE
epoch,lr,train_loss,train_accuracy,train_kappa,train_f1,val_loss,val_accuracy,val_kappa,val_f1
1,2e-05,1.152973,0.515335,0.224906,0.236674,0.876286,0.660408,0.530499,0.29797
2,4e-05,0.825326,0.676997,0.588102,0.372456,0.707858,0.73352,0.730645,0.389838
3,6e-05,0.729918,0.724601,0.661481,0.438286,0.754889,0.717938,0.715465,0.448459
4,8e-05,0.702891,0.740895,0.692354,0.460213,0.66439,0.79185,0.753556,0.4923
5,0.0001,0.678608,0.751757,0.706022,0.50195,0.613399,0.794247,0.785594,0.535567
6,0.0001,0.724653,0.737061,0.67211,0.464402,0.792575,0.722333,0.631953,0.420755
7,9.998e-05,0.660227,0.765495,0.720067,0.480824,0.611817,0.80024,0.777245,0.55911
8,9.996e-05,0.606955,0.779393,0.745943,0.546514,0.568272,0.794646,0.802028,0.55336
9,9.993e-05,0.572396,0.784984,0.763424,0.539362,0.611867,0.776668,0.778019,0.586193
10,9.99e-05,0.562692,0.798562,0.782447,0.583172,0.540794,0.813424,0.812788,0.531349
11,9.985e-05,0.555472,0.794089,0.779943,0.564402,0.71992,0.736716,0.750397,0.49676
12,9.98e-05,0.547167,0.799042,0.781447,0.567271,0.560801,0.799041,0.803762,0.598707
13,9.974e-05,0.510507,0.819649,0.808402,0.61007,0.574431,0.794247,0.831915,0.587596
14,9.967e-05,0.503318,0.8123,0.801107,0.595922,0.660697,0.749101,0.796645,0.52608
15,9.959e-05,0.506781,0.819649,0.807703,0.609339,0.475836,0.836996,0.848826,0.613999
16,9.95e-05,0.490797,0.819169,0.806289,0.624588,0.573466,0.807831,0.820273,0.606376
17,9.941e-05,0.494823,0.817891,0.811338,0.605155,0.608653,0.769876,0.769447,0.512145
18,9.931e-05,0.473843,0.830351,0.822274,0.635611,0.515579,0.827807,0.815943,0.629914
19,9.92e-05,0.472945,0.828115,0.816513,0.639409,0.69407,0.763484,0.804186,0.561455
20,9.908e-05,0.444535,0.833866,0.828205,0.632345,0.554934,0.801838,0.841569,0.615674
21,9.895e-05,0.457915,0.833866,0.829123,0.637257,0.472051,0.838594,0.852892,0.657495
22,9.882e-05,0.429798,0.850479,0.849119,0.681636,0.622858,0.764283,0.803518,0.563932
23,9.868e-05,0.439685,0.840895,0.835002,0.667012,0.515225,0.826209,0.824699,0.579023
24,9.852e-05,0.429159,0.849201,0.841124,0.683042,0.515404,0.811027,0.83634,0.582057
25,9.837e-05,0.39995,0.853355,0.852814,0.687648,0.522789,0.842589,0.832893,0.622628
26,9.82e-05,0.40659,0.851597,0.85199,0.696953,0.495846,0.829005,0.8496,0.64178
27,9.803e-05,0.409173,0.850319,0.847147,0.66404,0.510131,0.813024,0.825341,0.594332
28,9.784e-05,0.398911,0.856869,0.858383,0.683791,0.491308,0.833799,0.824671,0.610517
29,9.765e-05,0.385,0.8623,0.868207,0.709659,0.505202,0.830204,0.857039,0.604787
30,9.746e-05,0.384483,0.861342,0.865808,0.696404,0.451071,0.840192,0.857513,0.655817
31,9.725e-05,0.36616,0.869649,0.876784,0.710014,0.558092,0.822613,0.820771,0.621224
32,9.704e-05,0.372007,0.867412,0.876486,0.708528,0.49598,0.818218,0.833429,0.610351
33,9.681e-05,0.37092,0.866933,0.868053,0.714298,0.620307,0.802637,0.820056,0.610482
34,9.659e-05,0.374389,0.868371,0.872485,0.732771,0.484259,0.823412,0.842129,0.658498
35,9.635e-05,0.35695,0.872045,0.877007,0.721356,0.485231,0.837395,0.834482,0.659206
36,9.611e-05,0.347098,0.875559,0.878371,0.728674,0.469638,0.84139,0.855833,0.638289
37,9.585e-05,0.33971,0.877636,0.881866,0.743649,0.510575,0.824211,0.847679,0.626513
38,9.559e-05,0.329066,0.877157,0.885605,0.740052,0.592351,0.790651,0.832972,0.581926
39,9.533e-05,0.332374,0.880032,0.887066,0.744579,0.533697,0.811826,0.845723,0.62522
