### RESUME
run_name,mode,date,n_epochs,lr,wd,batch_size,n_epoch_warmup,enc_type,pretrained,tau,lambda_m,lambda_c,mis_h_ratio,mis_l_ratio,best_val_loss,best_ep_loss,best_val_kappa,best_ep_kappa,best_val_accuracy,best_ep_accuracy,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_kappa,final_val_kappa,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
ce_ddr_v1,ce,2026-05-28 15:59,100,0.001,0.0001,16,10,resnet50,True,0.07,1.0,1.0,0.5,0.15,0.517302,44,0.880803,94,0.840591,64,0.630144,64,0.130682,0.687495,0.965017,0.87325,0.952556,0.823412,0.906874,0.598117,4422.8,139.0,917.4,47.5

### COURBES PAR EPOQUE
epoch,lr,train_loss,val_loss,train_kappa,val_kappa,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0001,0.763228,0.595236,0.645829,0.770401,0.711661,0.806233,0.405131,0.505734
2,0.0002,0.706198,1.202907,0.702685,0.706907,0.744728,0.645226,0.44726,0.33541
3,0.0003,0.706694,0.641394,0.692748,0.744119,0.742971,0.782661,0.456248,0.484087
4,0.0004,0.686626,0.673756,0.709196,0.7866,0.750958,0.806233,0.482082,0.518735
5,0.0005,0.684201,0.789746,0.701894,0.712764,0.742173,0.740711,0.45942,0.508345
6,0.0006,0.700288,0.822633,0.700356,0.723035,0.745048,0.729525,0.466565,0.41903
7,0.0007,0.701047,1.067763,0.694067,0.49402,0.746326,0.567319,0.452074,0.328461
8,0.0008,0.704627,0.656375,0.686821,0.774207,0.741214,0.784259,0.468726,0.54455
9,0.0009,0.680426,0.966746,0.705172,0.574013,0.752556,0.669996,0.477252,0.425977
10,0.001,0.699997,0.808214,0.685344,0.711172,0.739297,0.769876,0.478601,0.393496
11,0.001,0.701082,0.672037,0.690115,0.792273,0.744249,0.800639,0.486881,0.534209
12,0.0009997,0.670841,0.66883,0.722595,0.767314,0.759105,0.781063,0.482578,0.531978
13,0.00099878,0.659615,0.674342,0.723458,0.741313,0.759744,0.756692,0.495143,0.516791
14,0.00099726,0.654619,0.661196,0.731058,0.746683,0.763419,0.781063,0.491404,0.563337
15,0.00099514,0.632751,0.669959,0.741607,0.738506,0.775719,0.779065,0.514477,0.480636
16,0.00099241,0.623991,0.734473,0.747232,0.780992,0.778594,0.744706,0.522076,0.575535
17,0.00098908,0.603896,0.596944,0.758491,0.785588,0.789457,0.796644,0.544212,0.542144
18,0.00098516,0.616808,0.614773,0.751989,0.764543,0.774601,0.781063,0.512316,0.563689
19,0.00098065,0.595501,0.607705,0.767787,0.742853,0.790735,0.780264,0.542226,0.524282
20,0.00097555,0.591093,0.703434,0.756969,0.672901,0.785623,0.748302,0.531211,0.514307
21,0.00096988,0.582838,0.585602,0.779484,0.796535,0.792652,0.812625,0.541852,0.5798
22,0.00096363,0.580671,0.67348,0.769268,0.805008,0.792971,0.777068,0.545919,0.538116
23,0.00095682,0.575436,0.627045,0.779727,0.811721,0.792812,0.790252,0.548523,0.538027
24,0.00094945,0.582223,0.59911,0.764705,0.786638,0.788498,0.799041,0.530607,0.558987
25,0.00094153,0.557477,0.557403,0.778719,0.826185,0.798243,0.822613,0.542967,0.591501
26,0.00093308,0.55395,0.590461,0.793555,0.810632,0.805112,0.815022,0.578664,0.582765
27,0.0009241,0.545295,0.574281,0.794236,0.795871,0.805751,0.804235,0.56046,0.566639
28,0.0009146,0.538074,0.633043,0.801937,0.747348,0.809585,0.780663,0.56694,0.536176
29,0.0009046,0.53857,0.55899,0.803215,0.835407,0.813259,0.826608,0.576707,0.602026
30,0.00089411,0.513012,0.538866,0.813248,0.830474,0.81901,0.827008,0.582049,0.59448
31,0.00088314,0.521579,0.691242,0.809102,0.74156,0.814377,0.763084,0.572545,0.556415
32,0.0008717,0.516338,0.566609,0.804828,0.853003,0.809425,0.807032,0.578553,0.598384
33,0.00085981,0.509542,0.643748,0.813057,0.769802,0.820288,0.790252,0.595897,0.538853
34,0.00084748,0.50049,0.573282,0.819034,0.812548,0.821406,0.80863,0.603562,0.576783
35,0.00083473,0.496047,0.589398,0.820588,0.816704,0.822364,0.805034,0.60121,0.589727
36,0.00082157,0.491465,0.604298,0.823318,0.819823,0.826518,0.789453,0.594545,0.552125
37,0.00080802,0.475493,0.550424,0.831822,0.813645,0.832109,0.820615,0.622615,0.603621
38,0.0007941,0.468244,0.553197,0.835681,0.820925,0.832428,0.820615,0.613346,0.596226
39,0.00077982,0.465294,0.520108,0.833202,0.840893,0.831949,0.829005,0.620104,0.60468
40,0.00076519,0.457966,0.558619,0.833842,0.825019,0.832588,0.818218,0.613456,0.588169
41,0.00075025,0.459665,0.542732,0.833757,0.846524,0.834026,0.81662,0.632468,0.594986
42,0.000735,0.437898,0.526227,0.84681,0.84754,0.842812,0.815821,0.638905,0.608926
43,0.00071947,0.428505,0.543082,0.853627,0.817468,0.844409,0.815022,0.639884,0.587466
44,0.00070366,0.42684,0.517302,0.851821,0.852267,0.845687,0.831003,0.648159,0.604293
45,0.00068762,0.421198,0.618021,0.857021,0.804797,0.847604,0.801838,0.643765,0.583693
46,0.00067134,0.425903,0.571841,0.848755,0.828529,0.844728,0.813424,0.642673,0.594391
47,0.00065485,0.407922,0.560327,0.868362,0.821808,0.853195,0.820615,0.664015,0.607264
48,0.00063818,0.406586,0.630343,0.858356,0.836367,0.851438,0.799441,0.662844,0.5609
49,0.00062134,0.398855,0.559527,0.866998,0.824892,0.855751,0.81702,0.662191,0.606153
50,0.00060435,0.395281,0.580434,0.864944,0.840945,0.857508,0.814223,0.677935,0.580747
51,0.00058724,0.386948,0.550556,0.874893,0.834431,0.859904,0.812625,0.685142,0.590811
52,0.00057002,0.381128,0.586697,0.875505,0.839623,0.858466,0.814622,0.676778,0.600232
53,0.00055271,0.362256,0.625387,0.87708,0.838546,0.868211,0.815821,0.69914,0.583826
54,0.00053534,0.368644,0.531002,0.888496,0.857556,0.86885,0.82461,0.694429,0.590407
55,0.00051793,0.356039,0.558466,0.881546,0.85929,0.86853,0.81702,0.694371,0.608932
56,0.0005005,0.35576,0.587534,0.884369,0.848414,0.869649,0.805833,0.702565,0.564944
57,0.00048307,0.340535,0.579338,0.891911,0.835815,0.876038,0.811027,0.72673,0.607054
58,0.00046566,0.336161,0.563308,0.896482,0.846837,0.878435,0.821015,0.725872,0.609891
59,0.00044829,0.330259,0.63863,0.89612,0.848386,0.88147,0.78346,0.74471,0.551202
60,0.00043098,0.32372,0.598641,0.891991,0.849898,0.877157,0.796245,0.731186,0.589848
61,0.00041376,0.305057,0.569362,0.906334,0.84942,0.888978,0.82461,0.765354,0.597084
62,0.00039665,0.303659,0.556918,0.89895,0.860836,0.886422,0.813024,0.753155,0.593644
63,0.00037966,0.309102,0.535481,0.906378,0.866358,0.8877,0.835398,0.762658,0.617693
64,0.00036282,0.290198,0.522224,0.910755,0.869486,0.89361,0.840591,0.775239,0.630144
65,0.00034615,0.282029,0.598662,0.913897,0.849249,0.89393,0.817819,0.774974,0.586107
66,0.00032966,0.268587,0.596104,0.916338,0.861161,0.9,0.836996,0.787785,0.620633
67,0.00031338,0.273835,0.609568,0.918428,0.855065,0.900639,0.80024,0.791284,0.585305
68,0.00029734,0.262814,0.613596,0.916033,0.855079,0.899681,0.797843,0.794445,0.585158
69,0.00028153,0.250784,0.604804,0.928525,0.845781,0.911661,0.819816,0.815055,0.604209
70,0.000266,0.249189,0.567575,0.926252,0.868851,0.907348,0.810228,0.802482,0.607403
71,0.00025075,0.23846,0.607991,0.929319,0.856697,0.914696,0.831402,0.825753,0.613622
72,0.00023581,0.234367,0.594062,0.929002,0.865347,0.911022,0.820615,0.817711,0.590649
73,0.00022118,0.230713,0.563305,0.931615,0.866275,0.9123,0.836996,0.81631,0.628895
74,0.0002069,0.220061,0.579471,0.935612,0.872968,0.917891,0.829804,0.826908,0.590481
75,0.00019298,0.223899,0.572015,0.937776,0.858999,0.91885,0.833799,0.830715,0.613822
76,0.00017943,0.207923,0.654157,0.940496,0.858333,0.923003,0.815421,0.843909,0.587686
77,0.00016627,0.200602,0.614846,0.945394,0.865877,0.928115,0.835398,0.854014,0.622346
78,0.00015352,0.195037,0.676994,0.944891,0.864942,0.926358,0.811826,0.846968,0.584683
79,0.00014119,0.199449,0.602675,0.941421,0.867733,0.92524,0.831802,0.848755,0.61045
80,0.0001293,0.198106,0.628617,0.941318,0.869081,0.927157,0.82461,0.855639,0.602975
81,0.00011786,0.188817,0.632045,0.945937,0.870111,0.927316,0.823012,0.853953,0.608825
82,0.00010689,0.174564,0.621769,0.951097,0.871294,0.93738,0.827807,0.880715,0.587775
83,9.64e-05,0.168513,0.622466,0.955813,0.873745,0.939936,0.834998,0.880579,0.61705
84,8.64e-05,0.172277,0.651883,0.949758,0.86288,0.935623,0.815022,0.861558,0.599741
85,7.69e-05,0.152947,0.649493,0.957138,0.874519,0.945367,0.827407,0.896211,0.598216
86,6.792e-05,0.153458,0.686182,0.955979,0.874534,0.940735,0.818218,0.884626,0.589282
87,5.947e-05,0.160184,0.690532,0.952757,0.868022,0.941534,0.820216,0.882794,0.598607
88,5.155e-05,0.151223,0.684326,0.95815,0.873092,0.944569,0.838594,0.890446,0.604246
89,4.418e-05,0.150716,0.684833,0.961492,0.870405,0.946326,0.834199,0.893749,0.605583
90,3.737e-05,0.146175,0.69404,0.957575,0.871148,0.947604,0.831402,0.903158,0.597374
91,3.112e-05,0.138072,0.675104,0.960335,0.877495,0.950319,0.831802,0.90012,0.611293
92,2.545e-05,0.138439,0.683733,0.961437,0.875652,0.946805,0.828206,0.890656,0.600142
93,2.035e-05,0.136854,0.661288,0.96241,0.877521,0.948722,0.838594,0.901342,0.620074
94,1.584e-05,0.138478,0.655886,0.961056,0.880803,0.948722,0.839393,0.896375,0.618828
95,1.192e-05,0.136041,0.697324,0.963212,0.87665,0.952077,0.833799,0.909582,0.609504
96,8.59e-06,0.14121,0.673854,0.964706,0.875445,0.950479,0.836197,0.90274,0.610948
97,5.86e-06,0.134777,0.677582,0.964421,0.872857,0.951438,0.826209,0.907782,0.602608
98,3.74e-06,0.12788,0.694637,0.964772,0.871635,0.952875,0.828206,0.904509,0.604704
99,2.22e-06,0.130802,0.682356,0.963405,0.873708,0.951438,0.829405,0.910529,0.604359
100,1.3e-06,0.130682,0.687495,0.965017,0.87325,0.952556,0.823412,0.906874,0.598117
