### RESUME
run_name,mode,date,n_epochs,lr,wd,batch_size,n_epoch_warmup,enc_type,pretrained,tau,lambda_m,lambda_c,mis_h_ratio,mis_l_ratio,best_val_loss,best_ep_loss,best_val_kappa,best_ep_kappa,best_val_accuracy,best_ep_accuracy,best_val_f1,best_ep_f1,final_train_loss,final_val_loss,final_train_kappa,final_val_kappa,final_train_accuracy,final_val_accuracy,final_train_f1,final_val_f1,train_vram_mb,train_time_s,val_vram_mb,val_time_s
qmix_ddr_v1,qmix,2026-05-29 17:22,100,0.001,0.0001,16,10,resnet50,True,0.07,1.0,1.0,0.5,0.15,1.119069,1,0.640235,2,0.743108,3,0.344184,2,3.337943,2.16245,0.03306,0.156936,0.260175,0.37515,0.193817,0.218361,5225.8,449.5,1722.3,66.2

### COURBES PAR EPOQUE
epoch,lr,train_loss,val_loss,train_kappa,val_kappa,train_accuracy,val_accuracy,train_f1,val_f1
1,0.0001,1.553858,1.119069,0.11635,0.189593,0.339769,0.556532,0.18943,0.192202
2,0.0002,1.543113,1.223031,0.098444,0.640235,0.338519,0.72513,0.180858,0.344184
3,0.0003,1.531074,1.208118,0.134,0.637945,0.352549,0.743108,0.191944,0.328709
4,0.0004,1.548435,1.270689,0.094109,0.579117,0.337686,0.676788,0.178798,0.339696
5,0.0005,1.541889,1.22397,0.103121,0.496535,0.342686,0.686776,0.172363,0.285115
6,0.0006,1.541815,1.260497,0.086397,0.504736,0.338936,0.65002,0.170958,0.278714
7,0.0007,1.54528,1.258734,0.087631,0.066142,0.332824,0.529764,0.167377,0.166368
8,0.0008,1.544915,1.302771,0.0828,0.412425,0.332129,0.664802,0.169689,0.274018
9,0.0009,1.540649,1.34124,0.108045,0.482812,0.339492,0.690771,0.171268,0.292883
10,0.001,1.540288,1.231903,0.098394,0.238954,0.334908,0.599281,0.168314,0.22797
11,0.001,4.468714,1.523344,0.006166,0.119567,0.281567,0.477028,0.136227,0.173549
12,0.0009997,5.021985,1.518337,0.003516,0.0,0.28879,0.500599,0.109875,0.13344
13,0.00099878,4.857012,1.371818,0.024288,0.057281,0.259619,0.389133,0.124849,0.13832
14,0.00099726,4.29312,2.112899,0.027233,-0.03093,0.273649,0.357571,0.139207,0.11281
15,0.00099514,4.550498,1.384138,0.011345,0.021708,0.261286,0.375549,0.166943,0.139231
16,0.00099241,4.409787,1.631266,0.019346,0.060806,0.260036,0.330404,0.166285,0.134936
17,0.00098908,4.032692,1.828759,0.020912,-0.004647,0.251285,0.197763,0.148855,0.09564
18,0.00098516,4.577416,1.657287,-0.004394,0.229654,0.249757,0.228526,0.170623,0.139761
19,0.00098065,3.998963,1.934299,0.022084,-0.123764,0.246562,0.079105,0.159777,0.044863
20,0.00097555,4.485276,1.62984,0.011706,0.158731,0.247257,0.145425,0.158534,0.113788
21,0.00096988,4.060377,1.685505,0.020918,0.090852,0.251563,0.196564,0.214379,0.134414
22,0.00096363,4.247814,1.710538,0.013052,0.048944,0.270038,0.187775,0.176081,0.114209
23,0.00095682,4.168977,1.993704,0.030928,-0.035161,0.2392,0.159009,0.187991,0.100882
24,0.00094945,4.224902,2.033573,0.023386,-0.038266,0.252257,0.107072,0.194346,0.09331
25,0.00094153,4.022153,2.100321,0.043412,-0.030812,0.234755,0.172593,0.196523,0.106386
26,0.00093308,3.80827,2.010265,0.022418,0.048076,0.247812,0.277267,0.172213,0.146372
27,0.0009241,4.182286,2.059336,0.033569,0.016964,0.246145,0.257291,0.166008,0.119246
28,0.0009146,3.622498,2.187325,0.017164,0.08331,0.256286,0.320416,0.138021,0.139668
29,0.0009046,3.929735,2.163248,0.048481,0.022514,0.242117,0.190172,0.184078,0.114485
30,0.00089411,4.216442,1.872551,0.023526,-0.018206,0.261842,0.175789,0.173787,0.10841
31,0.00088314,4.061748,1.957435,0.039246,0.06586,0.248507,0.282461,0.175336,0.154787
32,0.0008717,4.210468,2.123859,0.026643,0.002869,0.243367,0.168198,0.169991,0.117205
33,0.00085981,4.04963,3.004615,0.044065,0.06419,0.207946,0.15861,0.182937,0.11206
34,0.00084748,4.558687,1.993634,0.040927,0.037991,0.25823,0.27487,0.180677,0.17176
35,0.00083473,3.924932,2.338994,0.046473,-0.019443,0.232671,0.119057,0.166822,0.087651
36,0.00082157,4.490605,1.928552,0.03128,-0.01012,0.256286,0.201758,0.160237,0.108239
37,0.00080802,3.865244,2.810884,0.045089,-0.065552,0.226281,0.128646,0.162226,0.082843
38,0.0007941,4.326063,2.113994,0.040207,-0.002133,0.240311,0.172992,0.164576,0.104207
39,0.00077982,3.816934,2.061185,0.034919,0.167061,0.251841,0.352777,0.158546,0.209715
40,0.00076519,3.977675,2.415767,0.02719,0.038073,0.267259,0.270475,0.176715,0.158608
41,0.00075025,4.238736,1.99136,0.037601,0.001143,0.257952,0.157012,0.184335,0.113915
42,0.000735,3.638152,2.557061,0.041647,-0.070481,0.246284,0.114662,0.193898,0.079523
43,0.00071947,4.350011,2.05948,0.040116,0.065156,0.253646,0.284459,0.177081,0.170849
44,0.00070366,3.87765,2.6168,0.027796,0.022956,0.242812,0.240511,0.172341,0.116317
45,0.00068762,4.338255,2.500093,0.038861,0.028618,0.246701,0.075909,0.175636,0.057758
46,0.00067134,3.982646,1.751521,0.033173,0.138548,0.236977,0.316021,0.182271,0.176622
47,0.00065485,3.695005,2.368932,0.031702,0.113497,0.230032,0.085497,0.175942,0.075173
48,0.00063818,3.796918,2.506587,0.040053,0.096285,0.224615,0.206552,0.184055,0.124006
49,0.00062134,3.749734,2.366757,0.029734,0.082153,0.217252,0.120256,0.195535,0.1019
50,0.00060435,3.642,2.418193,0.042667,0.081753,0.232671,0.289652,0.183251,0.145999
51,0.00058724,3.605344,2.833896,0.037779,0.035065,0.220725,0.162605,0.173791,0.099588
52,0.00057002,3.675956,3.074206,0.040873,0.028038,0.240867,0.232521,0.169907,0.122331
53,0.00055271,3.89048,2.668558,0.039416,0.048028,0.248368,0.277667,0.155547,0.146906
54,0.00053534,3.665507,3.459426,0.035265,0.020577,0.231143,0.17539,0.160878,0.101951
55,0.00051793,4.144575,1.975675,0.02976,0.128854,0.245867,0.369157,0.172289,0.196066
56,0.0005005,3.840936,2.514202,0.024788,0.063694,0.227393,0.200559,0.156771,0.112886
57,0.00048307,3.973941,2.334313,0.049023,0.100351,0.254619,0.338793,0.184219,0.159263
58,0.00046566,3.956137,1.985767,0.040584,0.117143,0.262398,0.355573,0.174554,0.165733
59,0.00044829,4.008088,1.868223,0.049971,0.096394,0.266704,0.353975,0.178637,0.163221
60,0.00043098,3.879258,1.923846,0.038918,0.120727,0.266843,0.359169,0.15784,0.164399
61,0.00041376,3.702584,2.007432,0.038456,0.143075,0.268093,0.356772,0.177854,0.186474
62,0.00039665,3.893331,1.916871,0.04483,0.075466,0.258508,0.347583,0.193609,0.177371
63,0.00037966,3.635673,1.920008,0.035661,0.143657,0.267537,0.386336,0.200061,0.225329
64,0.00036282,3.68618,1.681429,0.035262,0.089818,0.266287,0.336796,0.203334,0.199282
65,0.00034615,3.479929,1.742107,0.034012,0.124129,0.254202,0.361167,0.20389,0.208517
66,0.00032966,3.524315,2.102811,0.036178,0.001879,0.244339,0.25849,0.205921,0.158836
67,0.00031338,3.708945,1.821026,0.039991,0.165417,0.258786,0.360368,0.207686,0.182381
68,0.00029734,3.714667,1.762482,0.042343,0.109551,0.256702,0.345585,0.187107,0.17354
69,0.00028153,3.872596,2.145557,0.038198,0.185036,0.253924,0.29964,0.208638,0.159684
70,0.000266,3.624085,2.132123,0.046773,0.217839,0.249618,0.372753,0.187354,0.204219
71,0.00025075,4.003035,1.626959,0.052348,0.08135,0.272955,0.415501,0.204295,0.208926
72,0.00023581,3.751778,2.062114,0.040006,0.103765,0.252952,0.276868,0.203647,0.179254
73,0.00022118,3.407337,2.084656,0.038457,0.154667,0.250868,0.351179,0.194074,0.178003
74,0.0002069,3.768633,1.77142,0.043565,0.074385,0.253091,0.378346,0.188746,0.195508
75,0.00019298,3.895918,1.790568,0.036475,0.127745,0.256702,0.399121,0.200025,0.22438
76,0.00017943,3.893723,1.906236,0.049106,0.186974,0.266704,0.340392,0.199926,0.216209
77,0.00016627,3.891798,2.016772,0.052634,0.158029,0.261008,0.343588,0.207797,0.207946
78,0.00015352,3.638434,2.073026,0.05798,0.063635,0.261981,0.280064,0.218589,0.179041
79,0.00014119,3.896324,1.899672,0.0256,0.119385,0.261842,0.369956,0.194767,0.198002
80,0.0001293,3.65226,2.089953,0.045209,0.085899,0.258925,0.323212,0.174205,0.19221
81,0.00011786,3.681314,2.053146,0.059715,0.160677,0.268787,0.361167,0.205178,0.206878
82,0.00010689,3.760431,2.047931,0.047899,0.160338,0.263509,0.364363,0.2007,0.214638
83,9.64e-05,3.507586,1.958258,0.068182,0.168233,0.270593,0.395525,0.205128,0.227739
84,8.64e-05,3.700242,1.784292,0.054626,0.119169,0.248368,0.370755,0.199191,0.225442
85,7.69e-05,3.736333,2.17252,0.049126,0.091875,0.245451,0.236516,0.200376,0.164173
86,6.792e-05,3.075495,2.41867,0.046108,0.120157,0.237255,0.299241,0.20415,0.193247
87,5.947e-05,3.708448,2.238926,0.05808,0.15455,0.257119,0.344786,0.223164,0.203794
88,5.155e-05,3.481561,2.031662,0.033318,0.122913,0.255313,0.37515,0.187951,0.199348
89,4.418e-05,3.584564,1.994871,0.051581,0.153661,0.268232,0.363564,0.189258,0.195882
90,3.737e-05,3.488548,2.038562,0.040545,0.130338,0.258925,0.348781,0.160422,0.161544
91,3.112e-05,3.643185,1.976635,0.046706,0.142828,0.264759,0.376348,0.183303,0.207293
92,2.545e-05,3.043763,2.305122,0.046606,0.128702,0.259342,0.3336,0.17213,0.162852
